"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"MAOA",-2.85268001003227,16.9081041549271,-11.3030740721993,9.71893180244495e-11,2.49096222096664e-07,14.1551623054716
"GLRX",-1.21852594796518,18.4309652590362,-8.08811857104056,4.2424208921784e-08,5.43666237332662e-05,8.69164580643558
"MGST1",-1.29535034343238,17.5391475152423,-7.34859291836622,2.07146562394347e-07,0.000153036053875664,7.21711849849607
"IRAK4",-0.777538713557512,15.6631967364707,-7.28381880133687,2.38838944792296e-07,0.000153036053875664,7.08400217156238
"SORCS2",2.29054887458065,19.9784640803224,7.07675526355136,3.77886673464087e-07,0.000193704708817691,6.65425751522197
"TFRC",0.807849093381609,17.3400775231072,6.76016090225147,7.70386138625251e-07,0.000329083278882753,5.98499752963663
"P4HA2",1.79599727503838,18.3195190914893,6.57918747213991,1.16421256664191e-06,0.000426268115471886,5.59598756817842
"SAMHD1",-1.82534798339589,16.7445060858211,-6.49449160526447,1.414375127282e-06,0.000453130431402971,5.4123664942508
"ALCAM",-0.91273914151645,18.4382450734851,-6.19578129853989,2.82944829161428e-06,0.000805763996823043,4.75709137539596
"NEXN",-1.34053580910027,16.7600805234951,-6.12679978324083,3.32574695811617e-06,0.000852388945365173,4.60412947316991
"COL1A2",1.92658173760985,17.5918768193775,5.88919021444471,5.82661481071998e-06,0.00118006803109699,4.07281150611274
"METTL7A",-2.0819467416188,16.8866987185996,-5.87714050722761,5.99565547596767e-06,0.00118006803109699,4.0456908156249
"AKAP2",-1.28877445877979,18.2634289974451,-5.87649940891893,6.00478792483927e-06,0.00118006803109699,4.044247411929
"CAPRIN1",0.96038702028585,17.3858982874768,5.84665784014449,6.44594320536786e-06,0.00118006803109699,3.97700916711644
"HTRA1",-1.22507826016918,17.3723063342561,-5.6776289555559,9.64772300885325e-06,0.00164847427144606,3.59431756290775
"COL1A1",2.27521952633121,18.8260765708818,5.56543592080158,1.26282073963997e-05,0.00202288097231078,3.33866581737031
"ABHD14B",-0.697252642290231,18.1589557061791,-5.47827965417536,1.55781104104779e-05,0.00224931639041123,3.13922325768802
