"","Ost_contr_8","Ost_dif_8","Ost_contr_9","Ost_dif_9","Ost_contr_11","Ost_dif_11","Ost_contr_12","Ost_dif_12","Ost_contr_20","Ost_dif_20","Ost_contr_22","Ost_dif_22","VIC_contr_213","VIC_dif_213","VIC_contr_431","VIC_dif_431","VIC_contr_432","VIC_dif_432","VIC_contr_482","VIC_dif_482","VIC_contr_494","VIC_dif_494"
"A2M",19.01087,17.78716,19.30444,17.67077,19.98286,18.32757,18.48781,17.17753,19.25388,18.83046,19.04638,17.53143,18.50138,16.6524,18.8439,18.70942,18.80117,18.03356,18.41337,15.50187,18.58077,15.88083
"AACS",11.43672,11.79467,11.42653,12.1392,11.21427,11.5955,10.59141,11.48057,11.7553,12.8129,12.01064,12.0316,10.82974,10.99817,11.61205,11.86324,12.14887,11.41273,11.86971,11.99298,11.90772,11.59745
"AAK1",13.25005,13.21902,13.32158,13.36729,12.79648,12.80815,13.20603,12.80366,13.30579,13.1722,13.16348,13.00617,12.13567,12.63965,12.64955,12.99528,13.38112,12.99897,12.11512,13.05964,12.70001,12.5329
"AAMDC",11.74875,12.2544,13.13668,12.81443,12.68802,12.63895,12.55023,13.0842,12.44415,12.53597,12.66811,12.78438,12.94545,13.14866,12.84371,12.74114,12.68804,12.93744,12.21344,12.5423,12.80009,12.21072
"AAMP",12.16891,11.78323,11.88275,11.36223,12.1816,11.7607,12.23038,11.76122,12.00961,11.13944,11.66332,11.30031,11.3374,11.15756,11.39742,11.46147,11.49786,11.16227,11.68463,11.75979,12.18956,11.25256
"AAR2",11.23192,11.72604,11.30672,11.76284,11.67118,11.03702,11.74086,12.03955,11.07921,11.37299,11.31179,11.74853,10.80236,11.05128,11.68063,11.64403,11.72797,11.05037,10.71573,10.93962,11.1601,11.61353
"AARS1",15.39973,15.27381,15.52512,14.69178,15.32441,15.14548,15.59581,15.03109,15.5554,15.10662,15.35574,15.12868,15.23627,15.38688,15.46233,15.30348,15.36364,15.48272,15.71208,15.62304,15.53464,15.162
"AARS2",11.68663,11.33922,11.26735,11.40085,11.3992,11.66399,11.81919,11.88191,11.41746,11.43565,12.04456,11.30197,11.3546,12.00759,11.21994,11.75821,10.44041,11.81487,11.1796,11.4879,11.29985,11.20608
"AARSD1",12.26203,12.13385,12.5886,11.80681,13.09367,12.7955,12.54793,12.57661,12.72165,12.68667,13.17194,12.06567,12.31395,12.52491,12.05861,11.9456,12.67379,12.36829,12.79564,12.35012,12.43698,12.18711
"AASDHPPT",11.9742,12.27245,12.35085,11.81894,12.47888,12.44495,11.7276,12.28989,12.61905,12.02764,12.11401,12.01871,12.18256,12.29179,12.38217,12.63387,12.73552,12.7352,12.10483,12.00169,12.8251,12.42406
"AASS",11.3552,10.96237,10.67909,11.30491,10.6451,11.45146,10.67953,11.9699,10.84456,11.07372,10.8054,11.57321,11.28505,12.40415,11.13379,12.34162,10.80562,12.093,10.60578,11.49918,11.0583,11.57493
"ABAT",9.96321,10.58577,10.05795,11.22374,10.2299,10.85225,9.57358,11.17506,9.86618,10.61455,9.91383,11.27435,10.10465,11.1101,10.72557,11.51392,11.22009,11.92046,9.18226,10.24422,10.23695,11.50952
"ABCA1",9.29486,10.20109,10.14451,8.21057,9.85605,9.90072,10.26244,9.42444,8.00422,8.04927,10.13195,9.95164,9.48717,10.15329,7.22247,9.88514,9.84821,10.61676,9.0817,10.02233,9.13166,10.49103
"ABCA6",9.64820565249772,9.91326,9.65686105807304,10.51016,9.42214534604769,10.2766,9.64381361411949,10.3686,9.34445816820299,10.09121,9.3903,10.49727,9.83556,11.35924,8.64713,9.99801,8.690796825195,9.51469,9.76615,10.81551,8.05285,10.21352
"ABCA8",8.79441,9.83254,8.80705,9.91315,8.38305929897774,7.63809,9.06222066732065,9.09448511808292,8.18552031217846,7.12664,8.92694,9.76514,9.62258,10.45824,8.86080754459235,9.0472,8.4385,9.9239,9.51374,10.0172,8.4755,10.16286
"ABCB10",10.52976,9.73379,11.14473,9.46378,9.90569,11.18529,11.07195,10.34936,11.12413,11.37303,11.12442,9.93004,11.07462,10.43339,10.62845,11.10749,11.03063,11.0746,10.17164,11.0933,11.25228,11.40882
"ABCB6",11.78499,11.84378,11.67933,11.78687,11.68689,11.90968,12.12039,12.23507,11.66291,12.05601,12.02054,12.20361,11.60519,11.78175,11.05824,12.27156,11.5573,12.51722,11.58702,11.57169,11.41293,11.9513
"ABCB7",11.84607,11.74663,11.70995,11.94909,11.54689,11.8402,11.20099,12.06189,11.3863,11.7398,11.68063,12.04435,11.68719,11.79479,12.42093,12.22263,11.17206,12.54365,10.71623,11.1865,10.67074,12.05909
"ABCB8",10.48287,10.32744,10.5593,9.54409,9.0926,10.85705,10.61192,10.59389,10.55251,10.73488,11.14909,11.20019,9.95547,10.63943,11.16276,9.60618,10.2482,10.75927,10.8498,9.87555,10.62835,10.60254
"ABCC1",12.71682,12.5016,13.06701,12.65568,13.05239,13.35087,13.63703,13.5241,12.6276,12.89122,13.43131,13.17854,13.21578,12.97915,12.66445,12.63192,12.60264,13.05449,13.18737,13.22914,13.40873,13.41035
"ABCC10",9.29421,9.94243,9.7989,10.02142,9.26045743569902,9.17367,9.70008,9.36352,9.25648,9.87328,10.409,9.96398,9.24111,9.2451,9.52033,10.40334,9.69288,10.71646,9.36405,9.78973,8.84143,9.97579
"ABCC4",12.08909,13.01766,12.1982,13.5214,11.22756,12.13468,12.09723,11.88657,11.8862,13.08365,11.9531,12.23591,11.88602,12.98068,10.7087,12.54218,11.94625,13.44432,11.35787,12.09187,11.90242,12.86867
"ABCD1",11.98087,12.27761,12.55204,12.38952,11.24254,11.41994,11.58801,11.97614,11.98438,12.41667,11.66792,12.08981,12.21761,12.44103,11.81422,13.01901,12.54958,12.53322,11.44843,12.48231,12.0857,12.65323
"ABCD3",12.88351,13.44009,13.04835,13.58772,12.57842,12.99666,13.01618,13.25111,12.99655,13.26664,12.91519,13.05162,13.665,13.24754,13.36616,13.47329,13.92815,14.00925,12.21182,13.2101,13.1538,13.56196
"ABCD4",9.52712152594084,10.36651,9.48051436453848,9.56095,9.49072791289689,9.69555,11.43434,11.01393,8.86789,10.52336,9.06205,10.64674,10.62627,10.22261,8.83932293439295,9.58711,8.47291,10.27603,9.25901,9.75798,9.67749,9.56222
"ABCE1",13.96543,13.75634,13.88891,13.6383,13.86956,14.03759,13.99553,13.83342,14.10469,14.07164,14.06254,13.88254,14.27532,14.13688,13.95694,14.02589,14.31361,13.93306,14.09899,14.1043,14.19616,14.14272
"ABCF1",13.96591,12.90862,14.12288,12.35455,14.11171,14.16297,13.99287,14.03299,14.30354,14.23784,14.09058,14.25529,13.66993,11.69986,13.38659,11.80661,14.31438,11.43002,13.90684,14.13022,14.03246,14.05588
"ABCF2",13.61545,13.60067,13.81799,13.63863,13.43478,13.84898,13.70367,13.70568,14.01968,13.51141,13.46244,13.52438,13.71569,13.49941,13.21738,13.32567,14.19013,13.56551,13.39363,13.70041,13.80514,13.71096
"ABCF3",11.52781,11.87065,11.80246,11.34311,11.37775,11.44136,11.67068,11.59653,11.94291,11.9876,11.87616,11.89495,11.63456,11.31645,11.20424,11.75012,12.19097,11.84987,11.19825,11.03258,11.99249,11.65429
"ABHD10",13.33369,13.09786,13.50212,13.0559,13.36001,12.96921,12.69969,12.30787,13.59012,13.44456,13.77661,13.09944,13.17532,13.4469,13.00978,13.51238,12.64075,13.80767,13.17506,13.57594,13.3913,13.16484
"ABHD11",12.05369,11.68659,11.99074,12.57096,12.46522,11.93018,12.235,11.59822,12.34822,11.96311,12.54509,11.77661,11.68584,12.18324,11.34717,11.45218,10.9257,11.3165,11.79119,11.57473,11.61446,11.41493
"ABHD12",12.6008,12.54078,12.35844,12.52129,12.52532,12.76498,12.99255,12.74734,12.92576,12.9987,12.92654,12.49135,12.57024,12.55152,12.90822,13.33943,13.86423,13.47448,12.79461,12.99773,13.02223,13.10929
"ABHD14B",15.64204,15.59442,15.67948,15.903,15.12505,15.50962,15.55898,15.7508,15.54699,15.69876,15.37794,15.8493,14.44912,15.28663,14.90081,15.9239,14.58152,15.41385,14.36424,15.32972,14.78226,15.25264
"ABHD16A",10.91716,11.74884,11.3733,13.08687,11.09223,11.42336,11.72664,11.61565,11.98195,11.83209,11.80606,11.09441,12.42461,11.35094,12.3589,12.43356,12.4521,12.25759,12.54263,11.41215,11.96199,11.93641
"ABHD4",10.47354,10.07822,11.07631,10.2229916136091,11.92586,10.58078,10.94663,10.14326,10.71359,10.75949,12.45854,11.02573,11.23213,11.46931,9.73071,11.35834,10.30881,9.67808,10.86108,10.28693,11.86098,11.12481
"ABHD6",10.89351,10.30757,10.66599,10.64337,9.95811,10.74768,10.20982,10.64838,10.20955,10.0017,9.28303,8.92047,10.29163,10.88795,8.25641,9.91812,10.22301,10.6286,9.37199,10.31504,9.85533,10.75668
"ABI1",13.96809,13.80554,14.16728,14.04289,14.54425,14.19434,14.15429,14.03563,14.11692,14.23055,14.04647,14.11112,13.90744,13.55021,14.37782,13.72886,14.1148,14.02078,14.36698,13.93704,14.09924,13.99988
"ABI1;ABI2",15.23088,14.55202,14.15915,14.47736,14.19354,14.42901,15.01139,14.98112,14.67943,14.58537,14.36737,14.63176,13.65746,14.54865,14.03657,14.28874,14.16747,14.18924,14.04717,14.45883,14.43986,14.12455
"ABI2",13.01919,12.47126,13.09306,12.984,13.14105,13.21173,12.77686,13.41665,12.68827,12.94232,12.84328,12.80394,13.32494,12.62668,13.02627,13.18488,12.91851,13.66677,13.00665,13.27739,13.16273,13.30308
"ABI3BP",11.78613,11.45619,11.57862,9.72853,12.09107,11.09107,11.52126,10.19493,12.94589,12.11182,12.86046,12.36423,10.58292,9.90155,11.50642,9.91482,11.30694,9.44256,10.63093,10.60966,11.27226,11.64383
"ABLIM1",10.17594,11.3688,10.17263,11.72503,10.4879,9.40297,8.93766,9.75374984763063,10.98438,10.3702,10.37434,10.3126450944928,11.69058,12.33588,10.68283,9.97963,11.29257,11.05689,12.17745,12.99739,12.65693,12.80971
"ABLIM3",10.0410230659358,10.93214,9.7676,10.39149,9.58100610167558,10.59136,9.72308,10.70639,10.48967,11.51358,10.07848,11.15287,10.09806,9.34287,9.53115764254947,8.8608,9.95853405433263,9.53694196682648,8.6304,10.7553,9.94486,10.05279
"ABR",12.45927,12.02504,11.97784,11.83923,11.98833,12.47603,12.28961,12.36315,12.21039,11.98329,12.40136,12.30592,11.60965,11.40195,11.27385,11.58734,11.80678,11.79546,11.45152,11.0766,11.66103,11.54769
"ABRACL",15.23798,15.39464,14.81845,15.37905,15.22396,15.27805,15.13812,15.20687,14.49486,14.77675,15.35958,15.19542,14.015,15.97851,14.02685,15.67816,14.70448,15.33953,14.59923,15.14293,14.24672,14.33425
"ABRAXAS2",13.0373,13.04962,13.58074,12.24018,12.92754,13.18445,12.63183,12.78131,13.32824,13.29581,13.18873,13.08509,13.18847,13.00663,12.96126,11.99072,12.50188,13.11886,12.96188,13.21167,13.31591,12.96066
"ACAA1",14.37676,14.34934,14.77031,14.59065,14.27733,14.44801,13.4053,13.44923,14.64665,14.66879,14.61401,14.45003,13.77503,14.52036,13.69799,14.47138,14.46105,14.75251,13.60314,14.30416,14.38718,14.57916
"ACAA2",14.5386,14.19481,15.1497,14.33713,14.82135,14.58145,14.2302,14.48467,14.91341,14.78662,14.83019,14.87979,14.22934,14.55902,14.52626,14.82169,14.05198,14.579,14.10166,14.31921,13.93344,14.36276
"ACACA",11.22271,11.54042,11.20637,11.37876,11.53078,12.36034,11.61295,11.52989,11.45291,12.08963,11.95924,11.64443,11.89196,11.52571,11.35098,10.80107,11.92584,11.63875,12.00633,12.09118,11.66459,12.13965
"ACAD10",10.46633,9.35682,10.24727,9.72419,8.81065,10.22497,11.06368,11.55084,9.44647,8.79791,10.05956,10.16423,9.80932,9.04374,7.82168,8.9453,8.67739,9.47397,9.46863,9.65816,7.71052,9.90981
"ACAD11",12.3342,11.79769,11.86511,11.7517,11.34817,11.39332,12.58984,12.13154,11.78993,11.16345,11.83598,12.10848,12.00612,12.48068,11.36016,11.29696,12.66149,11.58062,11.61926,11.85091,11.98646,11.72207
