"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ITGA2",-4.74803272387665,14.1969492984469,-21.3376708561807,3.52629059670705e-16,1.71871403683502e-12,25.2080115115937
"ANXA3",-4.42478532450162,12.4316865878234,-15.2499714029999,3.59338315341655e-13,8.75707474487612e-10,19.578881440778
"CYP1B1",3.32862363636364,13.8239222933884,11.8624747178547,5.03497394537089e-11,8.18015433657924e-08,15.1641843519274
"ANK3",-2.62048822694207,12.6119787835379,-10.6282555267273,3.99090445365423e-10,4.86291707677768e-07,13.2442217346505
"DPYSL3",-2.08044345454546,17.6201972107438,-10.385999881943,6.11058023949998e-10,5.54587206678823e-07,12.8449443290344
"GALNT1",3.30773244040218,13.6229507263549,10.323570084167,6.82708912612421e-10,5.54587206678823e-07,12.7408080090946
"NRP2",2.30596833085085,11.4527560219677,9.12228979683847,6.31467448678112e-09,4.39681763551017e-06,10.63432307471
"CACNA2D1",-2.52930453030302,14.4422180991736,-8.9758148636247,8.38455833672662e-09,5.10829216665069e-06,10.3637228289469
"SLC4A7",-1.87548919233351,11.722360154157,-8.64761345868188,1.59857745949264e-08,8.65718504174126e-06,9.74622863617898
"STAT2",1.52488192424243,13.4605130785124,8.57349351798251,1.852970292288e-08,9.03137720461173e-06,9.60462279695942
"ARSA",-2.13836874242424,14.1390427479339,-8.46498620747583,2.30315429443421e-08,1.02050673009749e-05,9.39588157857417
"TXNRD1",-1.75403428787878,15.7862084710744,-8.38143791848213,2.7259019564376e-08,1.1071705113064e-05,9.23398797346641
"TGFBI",2.75385273205555,13.1238293947603,8.31682530214466,3.10731238169439e-08,1.16500311910604e-05,9.10808876627504
"DAAM1",-1.76607420892515,9.85536310332788,-7.98944160663395,6.08506941298352e-08,2.11847345134869e-05,8.46080013275043
"CDC42EP2",-2.25521030079061,10.4827343218139,-7.93568719136483,6.80431110968145e-08,2.21094748990583e-05,8.35302143170164
"ENPP1",2.5893941969697,13.0576290784034,7.82348082168203,8.60206159529991e-08,2.5114005886439e-05,8.12668455213726
"CARMIL1",-1.59892633333333,12.3996891617741,-7.81483383652887,8.7595014376172e-08,2.5114005886439e-05,8.10916598542805
"UAP1L1",1.15968565151515,14.4595976652893,7.52862540307853,1.60565222681896e-07,4.34774941861978e-05,7.52316904968037
"HTRA1",2.09294951515152,14.6809192768595,7.45666678811392,1.87312821424188e-07,4.7569034108819e-05,7.37396734742325
"SIAE",-1.41358254545454,12.504099812796,-7.41086146779719,2.06690003887099e-07,4.7569034108819e-05,7.27860352637428
"APBB1IP",2.74279145977729,10.801511311516,7.41074697729368,2.0674093900506e-07,4.7569034108819e-05,7.27836478554814
