"","Ost_contr_8","Ost_dif_8","Ost_contr_9","Ost_dif_9","Ost_contr_11","Ost_dif_11","Ost_contr_12","Ost_dif_12","Ost_contr_20","Ost_dif_20","Ost_contr_22","Ost_dif_22","VIC_contr_213","VIC_dif_213","VIC_contr_431","VIC_dif_431","VIC_contr_432","VIC_dif_432","VIC_contr_482","VIC_dif_482","VIC_contr_494","VIC_dif_494"
"A2M",18.318,16.75403,18.46978,16.96166,19.25635,17.8582,17.67325,16.66065,18.52052,17.8868,18.8912,16.90173,18.494,15.93612,18.592,18.39454,18.67978,17.79056,18.2286,15.08405,18.01737,14.91207
"AAAS",11.21828,10.75574,10.83809,11.15126,11.20455,10.75345,11.26362,10.96504,10.69127,11.04047,11.45573,10.72087,11.2333,11.4919,9.10529,9.93325,8.83746,9.85427,10.93348,10.63454,10.90047,11.5266
"AACS",11.13863,10.97493,11.05809,10.73157,10.70106,11.57122,10.43416,10.83588,11.56943,12.72823,11.67389,11.98297,11.0705,10.17782,11.01351,11.55782,12.14641,10.83249,11.75241,11.28244,11.22585,11.76422
"AAK1",13.06729,13.05752,12.95209,12.86178,12.84641,12.65034,12.93152,12.53358,13.08691,12.84886,12.85391,12.8527,12.00947,12.49607,12.49415,12.68504,13.09016,12.73475,12.07319,12.66397,12.54942,12.41692
"AAMDC",11.55122,12.17595,12.99962,12.80912,12.34246,12.56587,12.31873,12.71281,12.13301,12.71107,12.60158,12.7166,12.73935,13.21537,12.93495,12.7808,12.10595,12.84494,11.57634,12.42243,12.58968,12.03933
"AAMP",12.49721,12.01377,12.5103,11.7144,12.69877,12.6314,12.49784,12.38056,12.6718,11.10775,12.14813,12.16524,11.92972,11.90665,11.99515,12.27403,12.62735,11.95532,12.06585,12.24151,12.72478,11.90463
"AAR2",11.38331,10.25354,11.28252,11.75333,11.36007,10.80086,11.67458,11.64241,11.03267,11.1175,11.3083,11.51556,11.08433,10.76616,11.12355,11.44557,11.63716,11.36231,11.2349,11.21531,11.13394,11.41872
"AARS1",15.392,15.04359,15.52379,14.61862,15.41646,15.0906,15.65427,14.88569,15.5743,15.18093,15.3614,15.1239,15.19682,15.29586,15.40833,15.25789,15.32486,15.49403,15.63176,15.5736,15.56425,15.13474
"AARS2",10.82664,10.62048,11.16967,10.00197,11.19032,11.212,11.24974,11.08565,10.15208,10.90408,11.17548,10.93476,10.84226,11.45111,10.86678,11.21257,10.45701,11.02114,10.90888,10.58964,10.68727,10.97203
"AARSD1",11.97577,12.32222,12.49338,12.26167,12.69677,12.69776,12.43825,12.33412,12.73107,12.40454,13.07819,12.24132,11.60794,12.57171,11.517,11.90628,12.49194,12.44784,12.35923,12.60098,12.5509,12.66749
"AASDHPPT",12.13983,12.32394,12.6124,12.34285,12.2836,12.1135,12.01509,11.95599,12.43703,12.23403,11.7921,11.62301,12.04305,12.02201,11.79707,12.38432,12.6241,12.76454,12.19205,12.11177,12.56981,12.33601
"AASS",11.50746,10.98371,11.02853,11.10703,10.84413,11.47033,11.12221,12.11192,10.71157,11.42536,11.18712,11.91085,11.31054,12.48215,11.11954,12.46673,11.36863,12.08919,10.49924,11.76191,11.03958,11.58396
"ABAT",10.31277,11.38163,11.33573,11.52091,9.87456,11.0328,9.79627,11.82473,10.79063,11.40797,10.27896,11.67566,10.20842,11.53945,11.3589,11.84881,11.34421,12.0169,9.85333,10.1657,10.5398,12.04904
"ABCA1",8.27613,9.39745,9.31173,8.97373,9.15314,8.50464,9.55849,9.398,9.00832092204541,9.15787704052297,9.52322,9.24452928728924,8.18067,9.31609,8.85424469367523,9.4536,9.09275,8.59649,7.76606,9.07728,8.33779,9.4176
"ABCA6",9.93385866245329,10.16503,10.0263526652316,10.7747,9.97263928171032,10.30024,10.4517316656542,11.10076,9.73714640139271,9.98674,9.6612,10.45253,10.68294,11.38842,9.88523,10.603,9.64254751021854,10.05634,10.12257,10.89839,9.1574,10.15611
"ABCB10",9.44761,10.48035,10.83235,10.44397,10.0893616011964,8.79147,10.37925,10.82098,10.45901,9.30485,8.55807,10.08116,6.19562,9.49073,10.60309,5.17944993435921,10.31705,2.90617,8.82518,10.19375,10.05769,9.09124
"ABCB6",11.46968,11.45409,11.5191,11.5496,11.23506,11.80783,12.25103,12.27175,11.58755,12.07846,11.75706,12.22203,11.01186,11.5819,10.72981,12.00108,11.41053,12.03218,11.3196,11.1528,11.3078,11.63264
"ABCB7",11.65289,11.6383,12.02079,11.93283,11.4126,11.95659,11.74866,11.75886,11.24066,11.76829,11.68293,12.10283,10.91574,11.8047,12.30852,12.59367,11.2113,12.43692,10.78223,11.1058,11.64646,11.74165
"ABCB8",10.77962,10.32085,10.58374,8.79657,9.05249,10.43815,11.24994,10.51644,10.0493,10.31461,10.62884,10.43303,9.22937,9.99292,8.90158,10.1225554365023,9.56824556735065,10.33465,10.43501,9.78218,8.88471,9.65134
"ABCC1",12.65446,12.47043,12.99485,12.51942,12.97599,13.31301,13.68253,13.54847,12.65009,12.87175,13.47754,13.0232,13.05417,12.98926,12.65252,12.6874,12.57804,12.92262,13.02081,13.20724,13.49012,13.1847
"ABCC4",11.64041,12.69085,12.00015,13.21385,11.40739,11.8659,11.53394,11.71418,11.26982,12.76966,11.7667,11.80815,11.48882,12.44524,10.24122,12.20239,11.4904,12.78104,11.33504,11.60694,11.50718,12.85909
"ABCD1",12.02502,11.9061,12.5745,12.51011,10.52674,11.5072,11.54739,11.82583,11.53345,12.4127,11.82384,12.06534,12.04309,12.19496,11.63545,13.09693,12.16738,12.43163,11.34316,12.35067,12.24789,12.7388
"ABCD3",13.27131,13.22672,12.85498,13.29093,11.72234,12.74342,12.9614,12.83346,12.96563,13.18917,12.92465,13.17302,13.61519,13.15188,13.29107,13.2524,14.00034,14.05485,12.24877,13.13018,13.13454,13.43323
"ABCE1",13.91312,13.67605,13.71806,13.64524,13.81421,14.11918,13.96183,13.84025,14.10747,13.87548,14.06764,13.94157,14.09411,14.27274,14.02588,14.16486,14.34982,14.07487,14.07833,14.0944,14.16906,14.20866
"ABCF1",13.91682,12.7106,13.98163,12.26295,13.95369,14.20808,13.88153,14.05392,14.14704,14.17702,14.077,14.191,13.51942,11.34078,13.23341,10.696,14.00545,11.38664,13.63719,14.02139,13.98172,14.02765
"ABCF2",13.56455,13.7342,13.74459,13.70998,13.48335,13.73056,13.63234,13.62238,14.05832,13.58861,13.3408,13.65346,13.67602,13.36044,13.17676,13.34952,14.24667,13.43062,13.26396,13.71851,13.71427,13.60857
"ABCF3",11.3698,12.00478,12.01516,11.4468,11.38134,11.34207,11.58144,11.24457,11.60096,11.53046,12.05616,11.73994,11.73375,11.57993,11.31012,11.72916,12.38284,12.22994,11.26574,11.14442,11.88303,11.6419
"ABHD10",13.11213,12.92687,13.16182,12.95984,12.91979,12.71659,12.23239,12.24547,13.33628,13.23924,13.23194,12.98262,12.63825,13.34661,12.52301,13.36938,12.3794,13.55029,12.79523,13.35152,13.03895,12.69293
"ABHD11",12.29066,11.9019,12.0374,12.07629,12.47091,11.81172,12.09538,11.14493,12.34251,11.75437,12.79792,11.71203,11.5075,11.8919,10.95311,10.95961,10.39721,10.49069,11.15373,11.12234,11.45926,11.26627
"ABHD12",12.47821,12.51462,12.63929,12.34944,12.16881,12.52477,12.50995,13.00249,12.43597,12.51575,12.87065,12.51715,12.15691,12.23737,12.45032,12.78902,13.65832,13.33738,12.48389,12.70846,13.03513,12.77937
"ABHD14B",15.65473,15.47916,15.53042,15.95117,15.18987,15.47746,15.49465,15.74826,15.39752,15.62802,15.38249,15.81934,14.57798,15.476,14.80873,15.83256,14.60071,15.45333,14.30987,15.27369,14.7494,15.14357
"ABHD16A",11.05428,12.04328,11.39941,13.01497,11.09105,11.79754,12.11638,11.70458,11.89875,11.90795,12.04709,11.55665,11.95883,11.49482,12.2624,12.27009,12.57622,12.51775,11.59499,11.65871,11.98426,11.70709
"ABI1",13.92381,13.65484,14.05345,13.98558,14.51777,14.21762,14.15208,14.08313,14.00424,14.3995,14.12483,13.97967,13.85314,13.44464,13.98428,14.13419,14.20793,13.89526,14.23887,13.9437,14.18665,13.64682
"ABI2",12.1985,12.38871,13.32852,12.60768,12.85821,12.95852,13.14322,13.21744,12.64094,13.06762,13.28672,12.47096,14.25983,11.86961,12.77686,12.55393,12.73992,12.83038,12.72893,13.13239,13.09275,13.30057
"ABI3BP",10.46979,10.85001,10.80965,10.0838,10.95345,10.53464,10.97294,9.74448,12.17758,10.91229,11.45348,12.03204,8.70143,8.77528,10.35307,9.30493,9.64424,9.62156,9.75496199396714,9.62307,10.46662,10.19226
"ABL1",9.11603,9.77431,9.69546,10.51995,9.64444,9.9338,9.26116,9.49731,10.12508,9.80324,9.82412,9.67798,9.52069,9.59789,9.62615,8.03554,10.03451,8.60823,8.92576,9.31639,9.65664,9.76451
"ABLIM1",9.53808,8.76526357012365,10.04586,8.52975577785077,11.18424,8.60389,8.72072,8.91988090556496,11.28984,9.62864,10.92891,9.46682846310824,12.02945,12.14475,9.874,8.02191,11.38613,9.55523,12.53197,13.02782,12.39146,13.0514
"ABR",12.43847,12.073,12.16491,11.86656,12.0214,12.33145,12.4172,12.26049,12.44787,12.05562,12.25105,12.5634,11.39027,11.41334,11.25197,11.30232,11.89996,11.7097,11.37556,11.68823,11.52078,11.6608
"ABRACL",15.19257,15.44414,14.8992,15.32772,15.18272,15.39625,15.11123,15.11633,14.52894,14.57436,15.41899,15.0338,14.09532,15.92516,13.99444,15.66605,14.55269,15.25207,14.59996,15.20872,14.30821,14.36549
"ABRAXAS2",12.44319,12.28035,13.2829,11.66797,11.95687,12.50849,12.35084,12.34352,12.85495,12.83768,12.71063,12.70423,12.35324,12.58151,12.49464,11.66143,11.94309,12.78661,12.25256,12.70909,12.88416,12.05939
"ACAA1",14.20378,14.27151,14.47107,14.43462,14.04055,14.16711,13.18999,13.19425,14.28715,14.31068,14.31898,14.21574,13.58669,14.23756,13.24994,14.14495,14.15215,14.47885,13.31696,14.07121,13.95613,14.45467
"ACAA2",14.47488,14.34085,15.09295,14.48608,14.90865,14.40826,14.24851,14.36459,14.87786,14.6823,14.55176,14.84507,14.13196,14.53104,14.54826,14.89841,13.9267,14.54572,13.97215,14.46172,13.81955,14.10943
"ACACA",11.40185,11.44378,10.84493,11.11313,10.70468,12.29141,11.5484,11.53572,11.22936,12.11411,11.97214,11.69213,11.71638,11.489,11.37194,10.50452,11.66614,11.53915,11.87766,11.9111,11.93134,12.23175
"ACAD11",11.77486,11.7573,11.36548,11.44515,11.23894,10.36061,12.23463,11.77774,11.93831,11.0742,11.65894,11.81048,12.3444,12.35891,11.13094,9.44083,12.02833,10.80756,11.33114,11.73941,11.32316,11.63291
"ACAD9",13.45884,13.57097,13.45756,13.39908,13.10963,13.50695,13.38466,13.67487,13.3023,13.43809,13.49314,13.69588,12.67725,13.57664,12.04716,12.77371,12.29062,13.62551,12.49567,13.35059,12.39397,12.8793
"ACADM",13.26421,12.4491,12.97111,12.5519,13.39952,13.13635,13.37828,13.29633,12.91535,13.13699,13.07761,12.81301,12.84309,13.51853,12.39259,12.8525,12.18178,12.63897,13.1487,13.11074,12.85382,12.91406
"ACADS",11.11794,11.7481,12.38428,12.16613,12.51584,12.33042,11.74425,13.23071,12.02727,12.71304,12.10838,12.7944,12.34678,12.5084,12.39361,12.43794,11.25747,12.22533,11.20784,11.56417,11.97898,12.36564
"ACADSB",11.56282,11.39347,11.99391,11.54935,12.14587,12.56674,11.96685,12.65889,12.00486,12.21503,12.2611,12.35985,11.84194,12.29441,11.6919,12.16426,11.67571,12.51316,11.41511,11.94061,11.69315,12.23662
"ACADVL",15.29393,15.09936,15.37607,15.478,15.59105,14.78002,15.64989,15.50721,15.41276,15.38692,15.38703,14.68424,15.55091,15.67302,15.8567,15.6531,15.55424,15.75028,15.50144,15.61138,15.23388,15.58989
"ACAP2",13.31655,13.43257,13.60966,13.2533,12.79201,13.43413,13.33015,13.40777,13.13998,13.54966,13.47051,13.57999,12.51302,13.19475,12.93316,13.1106,13.18542,13.02789,12.44308,12.84833,12.88653,13.09929
"ACAT1",16.0792,15.70507,16.09503,15.76085,16.26571,16.32117,15.66417,16.066,16.13736,16.25216,16.38258,16.42552,15.64627,15.97428,15.29847,15.67571,14.9244,15.78865,15.73917,15.89555,15.57465,15.49684
"ACAT2",14.26763,14.72596,14.40705,14.19868,14.88384,15.50175,14.29773,14.82237,14.32038,15.1831,14.79587,15.02739,14.99579,15.32664,13.90426,14.40797,14.22081,14.49442,14.54362,14.93623,15.04658,15.23863
"ACBD3",13.70134,13.99378,13.73983,13.24801,13.81995,13.79002,13.42598,13.27825,13.73429,14.01797,13.52849,13.7248,12.98477,12.86183,13.8477,12.74751,13.90973,13.50376,13.78372,14.08824,13.89337,13.36122
"ACBD5",13.06927,12.8238,13.11525,13.03561,13.18941,12.77941,12.97258,13.15869,13.03186,12.50099,12.51409,12.63025,11.97892,11.66015,12.01316,10.58862,12.06841,12.12051,12.22123,12.78475,12.4862,12.24619
