"","Ost_contr_11","Ost_contr_12","Ost_contr_20","Ost_contr_22","Ost_contr_8","Ost_contr_9","Ost_dif_11","Ost_dif_12","Ost_dif_20","Ost_dif_22","Ost_dif_8","Ost_dif_9","VIC_contr_213","VIC_contr_431","VIC_contr_432","VIC_contr_482","VIC_contr_494","VIC_dif_213","VIC_dif_431","VIC_dif_432","VIC_dif_482","VIC_dif_494"
"NUDT4B",15.81,15.89192,15.60268,15.75383,15.7103103276289,15.66685,16.13977,16.6057,15.90585,16.1692,15.95033,15.83562,15.81246,15.6973895251389,15.27388,16.00636,15.87351,16.67641,16.75311,16.43162,16.69926,16.29869
"GATD3B",16.69219,16.45096,16.44218,16.32333,16.12193,16.24604,16.57878,16.63635,16.65938,16.41231,16.33024,16.23401,16.4554,16.84794,16.23454,16.71855,16.52503,16.90488,17.19217,17.15794,16.93889,16.85947
"UBA6",16.17536,16.05404,16.27371,16.30262,16.45725,16.23327,16.04072,16.11344,16.35553,16.23331,16.45725,16.19584,16.47202,16.58303,16.47729,16.05138,16.23225,16.37131,16.67504,16.6536,16.12808,16.34986
"ILVBL",16.91228,16.76783,17.07996,17.0019,16.75066,16.85069,16.83996,16.9001,17.22364,16.89994,17.12945,16.9016,17.60178,17.09006,16.85803,17.15209,16.89187,16.93232,16.74738,16.80971,16.76932,17.33602
"SH3PXD2B",15.58281,15.55125,15.0724,15.68171,15.30392,15.33297,15.8007,15.98253,15.92586,16.13217,16.26047,16.47289,16.10973,15.74802,15.64889,15.32188,15.56895,15.57565,15.63895,15.75601,15.11495,15.48916
"NBAS",13.94164,14.6140378361942,14.85078,14.78299,14.90734,14.96477,14.84078,14.7638106470828,15.11184,14.7952,15.10251,15.11645,15.07414,15.14504,14.83621,14.75598,14.64282,15.05167,15.18335,14.82486,14.79123,14.90796
"PEDS1",14.3323462066521,14.59407,15.12496,15.09814,15.1805906199864,15.07928,14.72631,14.80212,15.69863,15.2741,15.97934,15.99384,15.00989,15.0660368511705,15.0961806419721,14.1582,15.09021,15.32821,15.3261778257987,15.44891,14.88112,14.98871
"CNOT1",14.99387,16.2713001206961,16.19208,15.86147,16.495449708543,16.2541096546325,15.89346,16.08158,15.74212,15.8748396723443,16.28121,17.27588,15.70779,15.1051,15.48718,15.12681,15.46982,15.859659105801,15.3020084704636,15.5443,15.85018,15.094
"MAP1LC3B2",19.01292,18.13624,18.93177,18.99356,18.58264,18.89595,18.68854,17.89189,18.48412,18.73409,18.37369,18.18272,18.44665,18.47312,18.8081,18.51567,18.43425,18.12701,17.86012,17.91348,17.96564,17.22336
"PGP",15.54242,15.6139,15.04967,15.64547,15.55989,15.84018,15.79833,15.59521,15.70677,15.88405,16.00698,15.52685,15.36231,15.47185,15.63698,15.85748,15.49296,16.04341,16.00427,16.09387,15.77626,15.81344
"EIF3CL",17.14929,17.16974,16.68328,17.20333,16.97064,16.90644,17.10796,16.9538,16.99532,16.92494,16.93114,16.95009,17.13709,16.9444,17.11298,17.39703,17.19592,15.09898,15.45417,15.72362,16.97539,16.95178
"MCRIP1",15.92744,15.82484,15.38303,15.61144,15.35886,15.52606,15.24926,15.31436,15.11179,15.33775,15.2521114160851,15.2732924844343,15.10776,15.12548,15.08423,15.04245,14.86907,15.25091,14.70113,14.65442,14.96019,14.8708794012301
"AGPS",16.34606,16.34179,16.25163,16.24506,16.2981,16.4655,16.37741,16.55129,16.5279,16.45979,16.48569,16.45899,16.68001,16.12226,16.30998,16.69231,16.21195,16.52117,16.40179,16.64719,16.34808,16.2995
"TK2",15.61919,15.2908,15.4679,15.58032,14.97565,15.59081,15.44676,15.54551,15.69076,15.89592,15.06565,15.2012063936816,15.68263,16.36913,15.37329,15.7261,15.02239,15.5227,16.32516,15.88993,15.28837,15.5254864334943
"DDX39A",16.24759,16.00311,15.05591,15.08098,15.34276,15.08304,15.43966,15.67688,15.06404,14.94693,15.28346,15.2841790357095,15.81089,15.1507567184021,14.8003097679672,15.55051,14.93844,15.32029,15.2702981582038,14.974935427233,14.54503,14.9016
"PDLIM1",17.07333,15.21546,18.05396,17.2137,17.51611,17.86046,16.6533,15.78849,18.00258,17.41205,17.4751,17.78969,18.23774,18.53494,18.63511,18.92402,18.5884,18.18603,18.3473,18.5922,18.87829,18.70515
"ACOT7",17.24277,17.06833,17.36079,17.33539,16.82999,16.95591,16.979,17.18676,17.5399,17.20401,17.04747,16.77409,17.85227,17.7952,18.02112,18.03774,17.32031,17.47801,18.17207,18.27205,17.55615,17.57397
"MYO1C",18.85811,18.91254,19.09346,19.14561,19.11156,19.11378,19.30493,19.34814,19.51797,19.27347,19.17925,18.94737,19.47659,18.82841,18.63509,18.92223,19.0525,18.86047,18.15431,18.59259,19.03077,19.69517
"SNAP23",15.50472,15.6068,15.63973,16.7819,15.74721,15.93383,16.67062,15.89129,16.13709,16.35969,16.2196995891686,16.22233,16.53571,16.74482,17.27217,16.82074,16.09166,16.14808,16.37601,16.9011,16.71438,16.54224
"AIP",17.10877,17.2105,16.7894,16.94711,17.20585,17.08684,16.9499,17.17529,16.74499,16.84317,16.67691,16.79637,16.91867,16.73218,16.78492,16.98645,16.98608,17.01311,16.86146,16.99316,17.06136,16.89416
"STXBP3",15.77341,16.19308,15.76969,16.0089,16.19966,16.16949,16.01314,16.3164,16.11536,16.04044,16.15262,16.32894,15.34818,15.28737,15.81591,15.39757,15.6614,16.22952,16.22588,16.22926,15.9439,15.51244
"AP3B1",16.07246,16.22564,15.81453,16.25611,16.49428,16.31701,16.20723,16.25339,16.19755,16.14652,15.86413,15.62671,16.65124,16.21341,16.08911,15.93837,15.71559,15.03486,14.9217255318136,15.22962,16.14943,16.23657
