"","Ost_contr_11","Ost_contr_12","Ost_contr_20","Ost_contr_22","Ost_contr_8","Ost_contr_9","Ost_dif_11","Ost_dif_12","Ost_dif_20","Ost_dif_22","Ost_dif_8","Ost_dif_9","VIC_contr_213","VIC_contr_431","VIC_contr_432","VIC_contr_482","VIC_contr_494","VIC_dif_213","VIC_dif_431","VIC_dif_432","VIC_dif_482","VIC_dif_494"
"NUDT4B","57449.14","60805.777","49759.453","55255.297","0.0","52022.46","72203.05","99727.086","61395.707","73690.72","63318.086","58478.668","57547.266","0.0","39618.26","65825.625","60034.78","104736.77","110455.945","88391.27","106409.15","80611.31"
"GATD3B","105888.45","89584.586","89040.77","81999.734","71315.48","77722.3","97883.72","101868.7","103507.94","87216.57","82393.38","77076.695","89860.51","117960.29","77104.97","107841.45","94303.88","122708.68","149747.12","146235.78","125636.195","118906.31"
"H2BK1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"UBA6","74006.15","68037.25","79227.33","80831.0","89975.54","77037.414","67412.27","70897.2","83850.6","77039.68","89975.836","75064.21","90901.9","98172.36","91234.31","67912.03","76982.87","84772.4","104637.78","103094.14","71620.23","83521.26"
"UHRF1BP1L","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"ARHGAP10","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"ILVBL","123340.18","111588.67","138541.78","131244.62","110268.47","118185.48","117309.37","122303.1","153049.84","122289.086","143376.3","122430.27","198912.64","139515.06","118787.8","145644.75","121607.23","125064.77","110018.0","114875.48","111703.83","165448.38"
"SH3PXD2B","49078.56","48016.78","34454.457","52561.17","40451.977","41274.836","57079.98","64747.06","62253.14","71823.71","78503.44","90956.83","70714.94","55033.254","51378.82","40958.65","48609.54","48835.906","51026.02","55339.01","35485.75","45994.0"
"NBAS","15734.447","0.0","29548.064","28191.865","30729.49","31977.572","29344.064","0.0","35409.293","28431.53","35180.91","35522.582","34495.977","36233.52","29251.207","27669.031","25581.572","33962.934","37208.758","29021.932","28353.312","30742.848"
"VWA8","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
