"","Ost_contr_8","Ost_dif_8","Ost_contr_9","Ost_dif_9","Ost_contr_11","Ost_dif_11","Ost_contr_12","Ost_dif_12","Ost_contr_20","Ost_dif_20","Ost_contr_22","Ost_dif_22","VIC_contr_213","VIC_dif_213","VIC_contr_431","VIC_dif_431","VIC_contr_432","VIC_dif_432","VIC_contr_482","VIC_dif_482","VIC_contr_494","VIC_dif_494"
"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A2M",528252,226187,647462,208656,1036190,328963,367608,148235,625166,466157,541416,189447,371083,103008,470520,428644,456791,268313,349121,46401,392075,60340.1
"A2M;PZP",351953,146107,284552,152172,562410,250460,225924,117010,310007,166529,564066,130620,348852,44051.8,305705,350510,450879,218355,335361,28468.2,132396,36182.3
"AAAS",2682.64,2342.86,2185.12,2125.79,2995.45,2465.6,2397.22,2154.39,1850.47,1599.59,2738.88,2343.84,2560.51,2876.77,604.538,818.239,298.922,1075.32,2425.65,1924.5,1936.54,2780.54
"AACS",2772.02,3552.62,2752.5,4510.89,2375.92,3094.53,1542.88,2857.57,3456.98,7195.59,4126.33,4186.7,1820.02,2045.4,3130.23,3725.56,4541.24,2726.31,3742.31,4076.11,3842.22,3098.71
"AAK1",9742.32,9534.99,10237.5,10567.1,7114.16,7171.95,9449.58,7149.67,10126.1,9230.57,9174.95,8227.12,4499.87,6381.38,6425.32,8165.24,10668.9,8186.15,4436.22,8537.74,6654.04,5926.25
"AAMDC",3441.33,4885.87,9006.05,7203.25,6598.94,6378.27,5997.84,8684.35,5572.67,5938.84,6508.52,7054.74,7888.05,9081.15,7350.91,6846.45,6599.04,7844.35,4749.1,5964.97,7132,4740.15
"AAMP",4604.75,3524.57,3776.28,2632.52,4645.43,3469.95,4805.21,3471.21,4123.37,2255.82,3243.47,2521.92,2587.61,2284.34,2697.53,2819.99,2892.01,2291.8,3291.72,3467.76,4671.14,2439.83
"AAR2",2405.17,3387.58,2533.16,3475.1,3261.18,2101.23,3422.55,4209.85,2163.59,2652.23,2542.07,3440.81,1785.81,2122.11,3282.62,3200.39,3392.12,2120.77,1681.73,1964.05,2288.37,3133.44
"AARS1",43229.6,39616.4,47155,26464.6,41030.6,36244.6,49523.1,33481.7,48155.1,35281.3,41931.3,35825,38598.9,42846.3,45146.7,40439.6,42161.4,45789.2,53679.3,50466.5,47467.2,36662
