Genes	D:\data\Ksyusha\dia_17.11.21\ost_d8_cont_Slot1-25_1_2486.d	D:\data\Ksyusha\dia_17.11.21\ost_d8_dif_Slot1-27_1_2500.d	D:\data\Ksyusha\dia_17.11.21\ost_d9_cont_Slot1-36_1_2498.d	D:\data\Ksyusha\dia_17.11.21\ost_d9_dif_Slot1-42_1_2497.d	D:\data\Ksyusha\dia_17.11.21\ost_d11_cont_Slot1-41_1_2482.d	D:\data\Ksyusha\dia_17.11.21\ost_d11_dif_Slot1-33_1_2484.d	D:\data\Ksyusha\dia_17.11.21\ost_d12_cont_Slot1-21_1_2488.d	D:\data\Ksyusha\dia_17.11.21\ost_d12_dif_Slot1-38_1_2478.d	D:\data\Ksyusha\dia_17.11.21\ost_d20_cont_Slot1-37_1_2491.d	D:\data\Ksyusha\dia_17.11.21\ost_d20_dif_Slot1-30_1_2495.d	D:\data\Ksyusha\dia_17.11.21\ost_d22_cont_Slot1-20_1_2493.d	D:\data\Ksyusha\dia_17.11.21\ost_d22_dif_Slot1-32_1_2480.d	D:\data\Ksyusha\dia_17.11.21\vic_213_cont_Slot1-29_1_2489.d	D:\data\Ksyusha\dia_17.11.21\vic_213_dif_Slot1-35_1_2494.d	D:\data\Ksyusha\dia_17.11.21\vic_426_cont_Slot1-19_1_2487.d	D:\data\Ksyusha\dia_17.11.21\vic_426_dif_Slot1-26_1_2492.d	D:\data\Ksyusha\dia_17.11.21\vic_431_cont_Slot1-24_1_2481.d	D:\data\Ksyusha\dia_17.11.21\vic_431_dif_Slot1-31_1_2483.d	D:\data\Ksyusha\dia_17.11.21\vic_432_cont_Slot1-22_1_2479.d	D:\data\Ksyusha\dia_17.11.21\vic_432_dif_Slot1-39_1_2496.d	D:\data\Ksyusha\dia_17.11.21\vic_482_cont_Slot1-40_1_2485.d	D:\data\Ksyusha\dia_17.11.21\vic_482_dif_Slot1-23_1_2499.d	D:\data\Ksyusha\dia_17.11.21\vic_494_cont_Slot1-34_1_2490.d	D:\data\Ksyusha\dia_17.11.21\vic_494_dif_Slot1-28_1_2477.d
A2M	326788	110526	363043	127635	626237	237604	209016	103599	376038	242362	486202	122441	369188	62697.5	761274	517167	395140	344594	419927	226721	307153	34733.8	265319	30830.4
AAAS	2382.53	1729.02	1830.59	2274.39	2359.96	1726.28	2458.6	1998.97	1653.46	2106.27	2808.78	1687.73	2407.47	2880.09	764.137		550.762	977.703	457.446	925.614	1955.72	1589.7	1911.47	2950.21
AACS	2254.56	2012.72	2132.15	1700.3	1664.71	3042.88	1383.55	1827.78	3039.11	6785.47	3267.32	4047.93	2150.57	1158.32	2752.81	2090.62	2067.27	3014.75	4533.51	1823.49	3450.08	2490.88	2395.07	3478.44
AADAC			1385.45										1775.41				2621.74			744.151	2258.17	1422.38	1768.81	
AAGAB	1642.5	1687.59	3461.66	1660.31	2917.87	1979.28	2363.81	1540.04	3003.95	2682.28	2781.12	2468.77	2833.59	718.728	2512.43	676.746	1548.86	1022.39	2131.32	1390.56	2475.23	1779.66	2115.4	2357.09
AAK1	8583.12	8525.21	7924.44	7443.57	7364.67	6428.82	7812.24	5929.04	8700.69	7377.23	7403.07	7396.86	4122.97	5776.85	4341.93	4304.44	5769.18	6585.33	8720.26	6816.2	4309.16	6489.87	5994.47	5468.45
AAK1;BMP2K	1022.4	583.968	1136.45	1122.52	2442.87	416.211	896.37	319.302	2502.96	1705.71	1492.67	1331.46	745.1	714.438	2101.34	1466.65	3489.92	731.82	1794.28	1515.64	4461.26	943.751	2601.2	2161.67
AAMDC	3000.98	4627.3	8189.82	7176.76	5193.4	6063.22	5108.67	6713.31	4491.58	6705.21	6215.19	6730.99	6837.97	9510.92	3258.14	4949.82	7830.82	7037.29	4408.14	7357.18	3053.69	5489.4	6164.13	4209.19
AAMP	5781.41	4135.27	5834.11	3360.36	6648.29	6345	5783.96	5332.35	6525.18	2206.81	4538.91	4593.06	3901.26	3839.36	3615.1	1255.49	4082.25	4952.82	6327.21	3971.09	4287.29	4842.4	6769.25	3833.98
AAR2	2671.27	1220.74	2491.01	3452.26	2628.58	1783.95	3268.87	3196.79	2094.91	2221.78	2535.94	2927.71	2171.28	1741.55	3332.39	2720.69	2231.12	2789.08	3185.18	2632.67	2410.14	2377.63	2247.24	2737.65
