"","OB_10d_20_1","OB_10d_8_1","OB_10d_8_2","OB_10d_9_1","OB_48h_20_1","OB_48h_20_2","OB_48h_8_1","OB_48h_9_1","OB_48h_9_2","OB_contr_20_1","OB_contr_20_2","OB_contr_8_1","OB_contr_8_2","OB_contr_9_1","OB_contr_9_2","VIC_10d_506_1","VIC_10d_506_2","VIC_10d_508_1","VIC_10d_508_2","VIC_10d_509_1","VIC_10d_509_2","VIC_48h_506_1","VIC_48h_506_2","VIC_48h_508_1","VIC_48h_508_2","VIC_48h_509_1","VIC_48h_509_2","VIC_contr_506_1","VIC_contr_506_2","VIC_contr_508_1","VIC_contr_508_2","VIC_contr_509_1","VIC_contr_509_2"
"ENSG00000000003.15",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,1,NA,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"ENSG00000000005.6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000000419.14",4,NA,NA,3,4,2,2,2,2,3,5,2,2,NA,2,4,2,2,4,3,5,1,3,2,3,1,2,1,4,8,6,NA,1
"ENSG00000000457.14",12,5,8,6,7,9,4,3,9,6,5,2,6,4,2,5,7,11,13,9,7,11,14,7,16,7,6,6,9,7,7,6,5
"ENSG00000000460.17",11,7,8,11,11,10,10,20,11,16,8,11,20,6,12,7,16,11,11,13,13,17,10,14,13,6,6,8,5,19,18,15,15
"ENSG00000000938.13",1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000000971.16",2,1,1,2,NA,2,3,3,2,NA,1,NA,1,NA,1,2,5,5,11,15,7,7,NA,3,4,6,1,10,4,6,2,3,3
"ENSG00000001036.14",NA,NA,1,1,NA,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,3,1,1,2,NA,NA,1,NA,NA,NA,NA,NA,3,3,1,3,NA
"ENSG00000001084.13",NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,NA,NA,1,NA,3,NA,NA,1
"ENSG00000001167.15",1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000001460.18",7,8,7,8,11,9,7,10,9,10,14,10,7,2,6,7,7,4,9,10,5,2,1,10,4,8,2,8,5,7,7,8,11
"ENSG00000001461.17",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000001497.18",NA,NA,NA,1,1,NA,NA,2,2,1,NA,NA,2,NA,NA,2,2,1,3,NA,NA,1,NA,4,2,2,1,1,4,2,1,2,1
"ENSG00000001561.7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,1,NA,NA
"ENSG00000001617.12",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000001626.17",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,1,NA,2,1,NA,NA
"ENSG00000001629.10",NA,2,NA,NA,NA,1,NA,2,1,NA,2,NA,3,NA,2,3,NA,1,3,1,2,2,2,2,1,3,NA,NA,NA,2,1,1,2
"ENSG00000001630.18",1,5,5,2,6,10,3,7,4,5,5,3,3,NA,4,2,4,5,5,2,5,2,2,3,5,1,NA,1,NA,3,1,5,3
"ENSG00000001631.17",1,1,NA,NA,NA,1,1,NA,NA,NA,1,NA,NA,NA,NA,2,1,NA,NA,2,1,3,1,NA,1,NA,NA,NA,1,3,1,NA,1
"ENSG00000002016.18",1,NA,NA,3,1,NA,1,NA,2,NA,NA,1,NA,1,1,1,NA,NA,1,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"ENSG00000002079.14",1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"ENSG00000002330.14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA
