"","Ost_contr_8","Ost_dif_8","Ost_contr_9","Ost_dif_9","Ost_contr_11","Ost_dif_11","Ost_contr_12","Ost_dif_12","Ost_contr_20","Ost_dif_20","Ost_contr_22","Ost_dif_22","VIC_contr_213","VIC_dif_213","VIC_contr_431","VIC_dif_431","VIC_contr_432","VIC_dif_432","VIC_contr_482","VIC_dif_482","VIC_contr_494","VIC_dif_494"
"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A2M",326788,110526,363043,127635,626237,237604,209016,103599,376038,242362,486202,122441,369188,62697.5,395140,344594,419927,226721,307153,34733.8,265319,30830.4
"AAAS",2382.53,1729.02,1830.59,2274.39,2359.96,1726.28,2458.6,1998.97,1653.46,2106.27,2808.78,1687.73,2407.47,2880.09,550.762,977.703,457.446,925.614,1955.72,1589.7,1911.47,2950.21
"AACS",2254.56,2012.72,2132.15,1700.3,1664.71,3042.88,1383.55,1827.78,3039.11,6785.47,3267.32,4047.93,2150.57,1158.32,2067.27,3014.75,4533.51,1823.49,3450.08,2490.88,2395.07,3478.44
"AADAC",NA,NA,1385.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,1775.41,NA,2621.74,NA,NA,744.151,2258.17,1422.38,1768.81,NA
"AAK1",8583.12,8525.21,7924.44,7443.57,7364.67,6428.82,7812.24,5929.04,8700.69,7377.23,7403.07,7396.86,4122.97,5776.85,5769.18,6585.33,8720.26,6816.2,4309.16,6489.87,5994.47,5468.45
"AAMDC",3000.98,4627.3,8189.82,7176.76,5193.4,6063.22,5108.67,6713.31,4491.58,6705.21,6215.19,6730.99,6837.97,9510.92,7830.82,7037.29,4408.14,7357.18,3053.69,5489.4,6164.13,4209.19
"AAMP",5781.41,4135.27,5834.11,3360.36,6648.29,6345,5783.96,5332.35,6525.18,2206.81,4538.91,4593.06,3901.26,3839.36,4082.25,4952.82,6327.21,3971.09,4287.29,4842.4,6769.25,3833.98
"AAR2",2671.27,1220.74,2491.01,3452.26,2628.58,1783.95,3268.87,3196.79,2094.91,2221.78,2535.94,2927.71,2171.28,1741.55,2231.12,2789.08,3185.18,2632.67,2410.14,2377.63,2247.24,2737.65
"AARS1",42998.6,33773.2,47111.5,25156.1,43733.9,34891.7,51570.8,30271.8,48790.2,37146.4,42096.2,35706.5,37557.6,40226.4,43488,39181.6,41043.2,46149.5,50772.4,48766.3,48451.5,35975.7
