Genes	D:\data\Ksyusha\dia_17.11.21\ost_d8_cont_Slot1-25_1_2486.d	D:\data\Ksyusha\dia_17.11.21\ost_d8_dif_Slot1-27_1_2500.d	D:\data\Ksyusha\dia_17.11.21\ost_d9_cont_Slot1-36_1_2498.d	D:\data\Ksyusha\dia_17.11.21\ost_d9_dif_Slot1-42_1_2497.d	D:\data\Ksyusha\dia_17.11.21\ost_d11_cont_Slot1-41_1_2482.d	D:\data\Ksyusha\dia_17.11.21\ost_d11_dif_Slot1-33_1_2484.d	D:\data\Ksyusha\dia_17.11.21\ost_d12_cont_Slot1-21_1_2488.d	D:\data\Ksyusha\dia_17.11.21\ost_d12_dif_Slot1-38_1_2478.d	D:\data\Ksyusha\dia_17.11.21\ost_d20_cont_Slot1-37_1_2491.d	D:\data\Ksyusha\dia_17.11.21\ost_d20_dif_Slot1-30_1_2495.d	D:\data\Ksyusha\dia_17.11.21\ost_d22_cont_Slot1-20_1_2493.d	D:\data\Ksyusha\dia_17.11.21\ost_d22_dif_Slot1-32_1_2480.d	D:\data\Ksyusha\dia_17.11.21\vic_213_cont_Slot1-29_1_2489.d	D:\data\Ksyusha\dia_17.11.21\vic_213_dif_Slot1-35_1_2494.d	D:\data\Ksyusha\dia_17.11.21\vic_426_cont_Slot1-19_1_2487.d	D:\data\Ksyusha\dia_17.11.21\vic_426_dif_Slot1-26_1_2492.d	D:\data\Ksyusha\dia_17.11.21\vic_431_cont_Slot1-24_1_2481.d	D:\data\Ksyusha\dia_17.11.21\vic_431_dif_Slot1-31_1_2483.d	D:\data\Ksyusha\dia_17.11.21\vic_432_cont_Slot1-22_1_2479.d	D:\data\Ksyusha\dia_17.11.21\vic_432_dif_Slot1-39_1_2496.d	D:\data\Ksyusha\dia_17.11.21\vic_482_cont_Slot1-40_1_2485.d	D:\data\Ksyusha\dia_17.11.21\vic_482_dif_Slot1-23_1_2499.d	D:\data\Ksyusha\dia_17.11.21\vic_494_cont_Slot1-34_1_2490.d	D:\data\Ksyusha\dia_17.11.21\vic_494_dif_Slot1-28_1_2477.d
A1BG					15946.3		2242.42						10731.5		216194	5479.1	76112.8		2547.71		11649.7	981.692	1992.43	
A2M	528252	226187	647462	208656	1.03619e+06	328963	367608	148235	625166	466157	541416	189447	371083	103008	776488	725227	470520	428644	456791	268313	349121	46401	392075	60340.1
A2M;PZP	351953	146107	284552	152172	562410	250460	225924	117010	310007	166529	564066	130620	348852	44051.8	577006	384215	305705	350510	450879	218355	335361	28468.2	132396	36182.3
AAAS	2682.64	2342.86	2185.12	2125.79	2995.45	2465.6	2397.22	2154.39	1850.47	1599.59	2738.88	2343.84	2560.51	2876.77	764.784		604.538	818.239	298.922	1075.32	2425.65	1924.5	1936.54	2780.54
AACS	2772.02	3552.62	2752.5	4510.89	2375.92	3094.53	1542.88	2857.57	3456.98	7195.59	4126.33	4186.7	1820.02	2045.4	2892.58	2279.62	3130.23	3725.56	4541.24	2726.31	3742.31	4076.11	3842.22	3098.71
AADAC													1159.42	3111.09						673.721	1744.1		1698.46	
AAGAB	2684.47	2082.35	3038.23	1926.22	3449.12	2872.9	2851.14	2025.53	2819.16	2496.45	3273.12	3687.08	2661.94	3289.99	2562.71	634.723	1558.48	1900.04	2162.81	1543.26	2962.62	2051.23	2722.52	2301.87
AAK1	9742.32	9534.99	10237.5	10567.1	7114.16	7171.95	9449.58	7149.67	10126.1	9230.57	9174.95	8227.12	4499.87	6381.38	4777.35	5287.84	6425.32	8165.24	10668.9	8186.15	4436.22	8537.74	6654.04	5926.25
AAK1;BMP2K	361.639	668.674	629.826	422.38	1450.85	719.688	564.02	882.255	1844.81	1394.24	1048.64	667.672	668.67	509.408	2796.9	502.057	2296.94		1266.68	1489.31	2777.28	832.421	1436.11	961.004
AAMDC	3441.33	4885.87	9006.05	7203.25	6598.94	6378.27	5997.84	8684.35	5572.67	5938.84	6508.52	7054.74	7888.05	9081.15	3835.4	5296.23	7350.91	6846.45	6599.04	7844.35	4749.1	5964.97	7132	4740.15
AAMP	4604.75	3524.57	3776.28	2632.52	4645.43	3469.95	4805.21	3471.21	4123.37	2255.82	3243.47	2521.92	2587.61	2284.34	1991	1014.89	2697.53	2819.99	2892.01	2291.8	3291.72	3467.76	4671.14	2439.83
AAR2	2405.17	3387.58	2533.16	3475.1	3261.18	2101.23	3422.55	4209.85	2163.59	2652.23	2542.07	3440.81	1785.81	2122.11	4025.67	2800.41	3282.62	3200.39	3392.12	2120.77	1681.73	1964.05	2288.37	3133.44
AARS1	43229.6	39616.4	47155	26464.6	41030.6	36244.6	49523.1	33481.7	48155.1	35281.3	41931.3	35825	38598.9	42846.3	41546.3	35568.6	45146.7	40439.6	42161.4	45789.2	53679.3	50466.5	47467.2	36662
AARS2	3296.29	2590.86	2464.97	2703.94	2700.86	3244.97	3613.51	3774.08	2735.26	2769.96	4224.5	2524.83	2618.63	4117.61	2464.58	2979.04	2385.27	3463.98	1389.56	3602.71	2319.51	2872.12	2521.12	2362.47
AARSD1	4911.78	4494.19	6159.5	3582.64	8741.51	7109.33	5988.29	6108.55	6754.58	6592.78	9228.85	4286.74	5091.76	5893.51	4823.71	4182.04	4265.84	3944.42	6534.16	5287.22	7110.03	5221.05	5545.02	4663.22
