"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"CARMIL1",-1.512282,12.3996891617741,-7.07668387684848,4.27453532560659e-07,0.00082024990652656,6.48596051478476
"PRDX6",-0.913186,17.2956690289256,-6.98697204298123,5.20830358294307e-07,0.00082024990652656,6.30458045053834
"ALCAM",-1.21996581818182,15.974253822314,-6.92203184281273,6.01306040577681e-07,0.00082024990652656,6.17251869137968
"SEMA3C",1.58805460766062,11.909695316083,6.75025445919467,8.81652700746273e-07,0.00082024990652656,5.820128221333
"IGF2R",1.42072581818182,13.6822722107438,6.72934802572115,9.23927803906807e-07,0.00082024990652656,5.77693913324307
"ITSN1",-0.886816854328632,11.9977731206208,-6.63676920310608,1.13763144837868e-06,0.00082024990652656,5.58491176410541
"DIAPH2",-1.24617142271904,12.9255257373642,-6.62128772058452,1.17803638606605e-06,0.00082024990652656,5.55267725474021
"P4HTM",1.24008970462446,11.0558199360997,6.39933788510317,1.94934634948439e-06,0.00118763926342336,5.08674602969491
"STON1",-1.61292874616126,11.6289629155128,-6.32069575872502,2.33357648481576e-06,0.00126376130966578,4.91998108098538
"SLC27A3",-1.73641989300167,11.8150230661484,-6.27086420498905,2.61636715584197e-06,0.00127521735175738,4.81386737453156
"DHTKD1",-1.40021846771785,11.1148049273893,-6.13931426939704,3.54367575157079e-06,0.00157017051028691,4.53211911747592
"CMC4",-1.22458202518863,9.88282369090473,-6.06085122144198,4.25065325931868e-06,0.00172647366549327,4.36297586579062
"PELO",1.7778387584397,12.4035756350462,5.66472837600382,1.07595210972207e-05,0.00370575915339213,3.49731626910975
"SLC4A7",1.27709909090909,11.722360154157,5.63783054494527,1.14666886736887e-05,0.00370575915339213,3.43786848145516
"MGST1",-1.41789590909091,14.690085785124,-5.60160657068045,1.24944461240857e-05,0.00370575915339213,3.35768350784039
"CISD1",-1.13374240657878,13.6546160439594,-5.54279409126399,1.43667708156283e-05,0.00370575915339213,3.22719731674698
"CANT1",1.34179602932124,10.3105399621167,5.53453840522247,1.46515329197583e-05,0.00370575915339213,3.20885145096742
"IRAK4",-0.992033545454545,12.110114338843,-5.52197849367036,1.50958069039498e-05,0.00370575915339213,3.18092714746403
"CYP1B1",1.61703118181818,13.8239222933884,5.51740318550766,1.5261028364867e-05,0.00370575915339213,3.170750876629
"C4A",1.83383954545454,15.2777655991736,5.50649028751746,1.56625698228601e-05,0.00370575915339213,3.14647005160257
"SEPTIN11",-0.748047727272727,16.4691728099174,-5.4857117783563,1.64570567222496e-05,0.00370575915339213,3.10020505878987
"ARMC8",-0.905521727272726,11.5966734710744,-5.47888675358668,1.67268570731693e-05,0.00370575915339213,3.08499908644047
"SLC35B2",1.139224,13.4651950619835,5.43947272412644,1.83752655582888e-05,0.00389395844917825,2.99709491343623
"NCKIPSD",-0.974627678793425,11.5784071509794,-5.39928109647009,2.02264594471177e-05,0.00410765680605215,2.90730007695608
"GNAL;GNAS",-1.01808036363636,14.6151145247934,-5.31017681359697,2.503526708475e-05,0.00480504205377395,2.70768443464169
"PDP1",-1.09985865502564,13.6628575784033,-5.29667998212183,2.58588060895292e-05,0.00480504205377395,2.6773853367364
"MEST",2.01804109090909,11.5990648880254,5.28461836406378,2.66180007082267e-05,0.00480504205377395,2.65029457915266
"ITGB5",-1.20939463636364,16.7234767768595,-5.26742658201916,2.77393481843115e-05,0.00482862796608337,2.61165942898577
"VPS25",-0.768046230167037,13.4326119104992,-5.23098609365544,3.0277186549342e-05,0.00486548463721871,2.52968310155813
"NNMT",-1.11663090909091,17.5022747107438,-5.22550640704066,3.06786670075271e-05,0.00486548463721871,2.51734638275322
"CAPZA2",-0.716744818181816,16.6664599070248,-5.19424146474269,3.30747907160512e-05,0.00486548463721871,2.4469107274493
"B3GAT3",1.22931190909091,12.3640056793999,5.19319618039791,3.31580975077752e-05,0.00486548463721871,2.44455447361599
"TATDN3",-1.03057601449894,10.9511262340713,-5.18713740150501,3.3645172103354e-05,0.00486548463721871,2.43089520024255
"CRIM1",1.39240818181819,11.9487361509996,5.18350568831576,3.39405986182676e-05,0.00486548463721871,2.42270624296393
"SSB",-1.0974160909091,15.6740040082645,-5.16325701901911,3.56365822886447e-05,0.00496264863071013,2.37702946521098
"SEPTIN7",-0.700191999999998,16.0124578512397,-5.10708511071464,4.08046069720847e-05,0.00552449039949835,2.25015209249879
"OGDH",-0.760384545454544,15.2625864669421,-5.06951589453878,4.46784595638917e-05,0.00567890144239698,2.16516310452787
"NEGR1",-1.46038577971774,12.6100883779394,-5.06062662624715,4.56482440246689e-05,0.00567890144239698,2.14503914976984
"SPATS2L",1.30054945454546,13.0768959297521,5.05690783464155,4.60602402056357e-05,0.00567890144239698,2.13661873700194
"JAGN1",-1.22539236363636,11.9486623437712,-5.05203600700321,4.66056745375214e-05,0.00567890144239698,2.12558607231227
"HS1BP3",-0.811831909090905,13.4664316942149,-5.02107276183313,5.02282352129045e-05,0.00597103459579748,2.05542945894706
"NMRAL1",-1.17639382540003,11.1102839718782,-4.94847068721301,5.98792703341915e-05,0.00672028336933791,1.89068371528283
"HIBADH",-0.855687181818183,14.6920082024793,-4.93909456577055,6.12553217209096e-05,0.00672028336933791,1.86938417474919
"PCCA",-0.893676181818179,11.843124978642,-4.9355172165413,6.17887153922826e-05,0.00672028336933791,1.86125622137717
"ADCY9",-1.07102585651706,9.65305377917489,-4.93380205322101,6.20461123553972e-05,0.00672028336933791,1.85735900178012
"HDAC6",-1.4942616874924,10.475494081339,-4.90715319233617,6.61873272941204e-05,0.00701297898329441,1.79678537388413
"RPL14",1.58506390909091,15.5592976652893,4.89614772224438,6.79779679249114e-05,0.00704945990778762,1.77175798859417
"NAP1L1",0.877437090909087,16.2319576033058,4.87877846078445,7.09040429800198e-05,0.00719971469759618,1.73224538766924
"RPL3",1.06292581818182,16.337413161157,4.86844734521956,7.27043973048006e-05,0.00723186188701221,1.7087359612683
"TMTC3",-0.729039818181819,12.1316130668389,-4.77975413250477,9.01870614527058e-05,0.00879143475040976,1.50668951425817
"ATP13A3",1.19045627272727,11.6178365876709,4.7348004438009,0.000100608916860626,0.00945747054144415,1.40414968893882
"ANKHD1;ANKRD17",0.849629381343933,11.4389005125045,4.7277414013981,0.000102352272472006,0.00945747054144415,1.38804066639992
"RPL34",1.59448872727273,14.8088582438017,4.71037095652226,0.000106772834244871,0.00945747054144415,1.34839271799943
"GJA1",1.50130745454545,14.4158877892562,4.70616394738713,0.000107872069533961,0.00945747054144415,1.3387886018624
"GHDC",-0.835825194707443,12.3093348111202,-4.69894311664793,0.000109785395768289,0.00945747054144415,1.32230283101562
"HEATR3",1.01297696931182,11.3180782364236,4.69878179993985,0.000109828528176147,0.00945747054144415,1.32193451060248
"CLPTM1",0.851140363636363,13.7756889749061,4.69589848674451,0.000110602343221649,0.00945747054144415,1.31535114173467
"STAT5B",-0.593858000000001,11.2483500348704,-4.68208354274454,0.000114386766832583,0.00946951089935689,1.28380407477511
"LACTB2",-0.684764490046,13.1537336857543,-4.68121544485042,0.000114628876295046,0.00946951089935689,1.28182152230018
"OTUD7B",-1.0803055742492,10.6573138178495,-4.65507215299694,0.000122166781372453,0.00992401487348892,1.22210462422708
"DBI",-0.703584909090912,15.7152699173554,-4.64286401952798,0.000125855611573649,0.00993517509806706,1.19421158285263
"SEPTIN11;SEPTIN6",-1.01876090909091,14.748583946281,-4.62462853992019,0.00013157533820748,0.00993517509806706,1.15253955340942
"PYGB;PYGM",-1.31374890909091,14.5324641528926,-4.62176298726912,0.000132497609299959,0.00993517509806706,1.14599033676141
"ARPC1B",-0.574773818181814,17.2642879958678,-4.62152636534041,0.000132574055317989,0.00993517509806706,1.14544952817273
"RAB4A",-0.598913272727273,12.6392662697369,-4.61582556485316,0.000134429287696459,0.00993517509806706,1.13241969556219
"KPNA1",0.639064454545453,13.6367010743802,4.61550438735937,0.000134534582780555,0.00993517509806706,1.1316855831435
"SCLY",-1.03941736363637,11.1927593022299,-4.60219863986518,0.000138970379477924,0.0101095765608269,1.10127053371532
"PPA2",-0.963043363636359,14.4545018181818,-4.5940067021757,0.0001417741630417,0.0101618716274301,1.08254283975603
"BBS2",-0.905143408531181,11.0814098673304,-4.57613576153576,0.000148089523402946,0.0101708783048386,1.04168268806415
"SLIT3",1.89019673410456,10.806496635832,4.57177562050361,0.000149672757116873,0.0101708783048386,1.03171263645066
"SIRT3",-1.14806293305601,10.5869657992516,-4.57101713334725,0.000149949906296961,0.0101708783048386,1.02997821409824
"LGALS1",0.788273545454544,20.2812755165289,4.56703225183789,0.000151414461192134,0.0101708783048386,1.02086585289805
"CAPRIN1",1.01564818181818,15.1387319421488,4.55919770112113,0.000154335897507248,0.0101708783048386,1.00294943492949
"RPL15",0.953852818181822,15.9534599173554,4.55318005478062,0.000156618206457475,0.0101708783048386,0.989187227429619
"CEP170",0.87478190909091,12.7895111053061,4.54458340104078,0.000159937567459002,0.0101708783048386,0.969525787413592
"APOB",1.65461031818182,13.3965690392562,4.54158228404765,0.000161112923448228,0.0101708783048386,0.962661626798306
"RPL9",1.001732,16.2219485330579,4.53929681001316,0.000162013818213149,0.0101708783048386,0.957434187346617
"RPL28",1.08318009090909,17.237957107438,4.5373947275471,0.000162767441070458,0.0101708783048386,0.953083594429644
"SUSD5",-1.30847986527664,12.521688870703,-4.52472207150345,0.000167879084620778,0.0102429103915734,0.92409627614682
"SPTLC2",0.775757297398126,11.5635325659253,4.51955307108087,0.000170010033606142,0.0102429103915734,0.912272079120338
"SORBS3",-0.64279958049613,13.3021185289592,-4.51890758547637,0.000170278038150194,0.0102429103915734,0.91079549128976
"DIP2C",1.58560353164168,10.023655559569,4.51400765307287,0.000172326354556631,0.0102429103915734,0.899586414036635
"RPL24",1.239075,15.1425280785124,4.50859203412848,0.000174619020607172,0.0102541338125224,0.887197291549776
"SLC44A1",-1.23494727272727,15.5528576239669,-4.49872231680621,0.000178876299735465,0.0103354455196812,0.864617769797712
"SCRN1",-0.71701209090909,14.5037761363636,-4.49559982946381,0.000180244741315737,0.0103354455196812,0.857474045010723
"CCDC80",1.75517472727273,12.7931655978784,4.48322565444108,0.000185771824170723,0.0104588660410237,0.829163030020872
"TMEM263",1.27531036363637,13.5235586053719,4.4786283234443,0.000187868316475295,0.0104588660410237,0.818644375045213
"UBE2H",1.64415896943977,12.557622961491,4.47652652016229,0.000188834676161282,0.0104588660410237,0.81383540561356
"RPL18",1.25167536363636,16.7031033677686,4.45105027887872,0.000200952090191102,0.0109336822248863,0.755542666885678
"ATG5",-0.802648090909091,13.1165508264463,-4.44913491386615,0.000201894009076686,0.0109336822248863,0.751159919482285
"TPM4",-0.90171918181818,18.8781007904081,-4.44063545914353,0.000206127461327965,0.010957152344235,0.731711225236601
"PGM1",-0.932682272727275,16.2115604132231,-4.43696169814986,0.000207984736963409,0.010957152344235,0.723304732578644
"GSTK1",-0.758604909090909,15.1803947520661,-4.434164884725,0.000209409905638692,0.010957152344235,0.716904887488902
"AKAP2",-1.12353581818181,14.7062099586777,-4.43044673728307,0.000211319721041874,0.010957152344235,0.708396753048254
"RPL18A",1.13280963636364,15.2967453719008,4.42116068349032,0.000216166044714576,0.0110232606570673,0.687147600087705
"LCP1;PLS3",0.988777727272726,16.7699307438017,4.41936121098435,0.000217117977652537,0.0110232606570673,0.683029875802839
"DERA",-0.725923181818183,13.2993557947117,-4.41050530450454,0.000221864354351886,0.011148111990836,0.662764915745154
"CPPED1",-1.21976427272728,15.7968764256198,-4.40209655865323,0.000226467231431828,0.0112594400439838,0.643523204184462
"YIPF4",0.79930118181818,12.8278345661157,4.39415593281995,0.000230901629766608,0.0112594400439838,0.625352772275245
"PYGB",-1.06247145454545,16.5383315289256,-4.39396333282703,0.000231010259416983,0.0112594400439838,0.624912049746677
"RPS6",1.08743290909091,16.2137309504132,4.36807196513205,0.000246089121233272,0.0118125705742998,0.565666554980079
"IP6K1",-1.5548558256206,9.53772934151656,-4.36621780210327,0.000247206031714933,0.0118125705742998,0.561423918848702
"ANKRD13A",0.788915423779201,11.8797543127765,4.34897805810718,0.000257836852078181,0.0122009399711559,0.521977602887732
"PXN",-0.669518000000002,13.1708713538767,-4.3444525770971,0.000260702486607844,0.0122179223050638,0.511623219589363
"NDRG3",0.654197090909092,14.4152912809917,4.33335234660431,0.000267867047311875,0.0123472046184021,0.486226496427667
"CYB5A",-0.904986409090911,14.6325172830579,-4.33234387923713,0.000268527634294342,0.0123472046184021,0.483919239441554
"TTC39B",-1.14115070992935,10.7519656839758,-4.32839771988492,0.00027112822843678,0.0123502708915969,0.474890987703226
"TTC27",0.955780472972185,11.3136788715699,4.32276529212695,0.000274883800127949,0.012350896385325,0.462005097954399
"GBE1",-0.851810636363638,16.1737846694215,-4.31780459101696,0.000278234542777653,0.012350896385325,0.450656301094769
"TRIM16",1.10357526563387,11.4120231775716,4.31705548247894,0.000278744071068064,0.012350896385325,0.448942561834232
"ABCA6",-1.34818475044032,9.80271560991535,-4.286938838385,0.000300020240784177,0.0131738617439827,0.380051139606504
"SNTB1",-1.16505037368283,13.2598418118817,-4.27699129080708,0.000307398478598793,0.0133773230775939,0.357299454248019
"WDR24",-1.09700582333985,9.36269486293908,-4.24947366976133,0.000328766692536472,0.0141806093754227,0.294372021040235
"MRPL9",-0.679696811244071,11.5194602441789,-4.24198459699192,0.000334834768506489,0.0143156549271985,0.277248774207582
"MINK1;TNIK",1.40398263636364,13.2498820247934,4.2355814743728,0.000340111545723056,0.0144148145552537,0.262609516562743
"TPM3",-0.766569181818177,18.5227935330579,-4.20571165510751,0.000365845113060683,0.0152440100976439,0.194332899213004
"NIT2",-0.580414272727273,13.8977512396694,-4.20561517454319,0.000365931305175283,0.0152440100976439,0.194112402763981
"RPL4",0.984270272727276,16.391038161157,4.19908578681884,0.000371811742513868,0.0152619240959805,0.179190784514235
"TBCEL",-0.851249721378034,11.7134888287467,-4.19819209067543,0.000372623916171868,0.0152619240959805,0.177148517197084
"RIN1",0.901736735436684,11.3213609950666,4.17550600000732,0.000393843785927866,0.0158018972788753,0.12531471650913
"CSNK1A1",0.934429818181819,12.0599791322314,4.17430175823438,0.000395003289246154,0.0158018972788753,0.122563694692595
"UBE4A",0.495852636363635,12.0077610950413,4.17375201102833,0.000395533743952152,0.0158018972788753,0.121307844576669
"DDT",-0.963683999999997,16.5245699793388,-4.16194968751805,0.000407094751766902,0.0161315432529421,0.0943489373552353
"RPLP0",1.15746236363636,15.9235425516529,4.15602253621792,0.00041302716451456,0.0161900727194768,0.0808119571722976
"COL3A1",1.93095627272727,14.0537414049587,4.15385779668978,0.000415215242087526,0.0161900727194768,0.0758682387569758
"BCAT2",-0.876259818181815,13.3997010123967,-4.14381417031801,0.000425519257971505,0.0164601655821676,0.0529333963349732
"PLCD1",-0.692967636363635,14.1166795247934,-4.14042934789796,0.000429048929365389,0.0164660195411568,0.0452049369274485
"DIP2A",-0.918183388640088,9.67387039478374,-4.12162479547594,0.000449196056575462,0.0171045435917875,0.00227730362625866
"PRIM2",1.53866329215342,9.63299954565624,4.11657757247841,0.000454762231887116,0.0171515169122076,-0.0092422039158464
"TCF25",0.819419459442297,11.5159806944187,4.11414658988525,0.000457467623838118,0.0171515169122076,-0.014790163500618
"EOGT",-0.669942258836143,13.2510260544578,-4.10220633285428,0.00047099016714409,0.0175040330609841,-0.0420363743298093
"RPS9",0.821221272727268,17.1454717768595,4.09954966863655,0.000474052598286807,0.0175040330609841,-0.0480977043676472
"LPP",-0.706870999999998,14.5622903305785,-4.09010055728809,0.000485106438402637,0.0176869226930115,-0.0696537970681996
"SRSF5",1.68081639456232,12.3707571269606,4.08912400388286,0.000486263364969951,0.0176869226930115,-0.0718813572213577
"DNAJA1",0.789934363636362,13.9810829545455,4.06399147188408,0.000517001251574191,0.0186656600012786,-0.129194036529567
"BTF3L4",1.01900309090909,12.7961402230314,4.05269518357467,0.000531439395397707,0.0189082264269855,-0.154944039129581
"LDHB",-0.490661818181817,18.4510417561983,-4.04751577924985,0.000538192761015799,0.0189082264269855,-0.166748321302965
"ERMP1",-1.13555182536643,10.9435138874454,-4.0460544998672,0.000540113494495562,0.0189082264269855,-0.170078438071879
"HSPG2",0.876408805090856,12.4546716977372,4.03816126603881,0.000550606963742085,0.0189082264269855,-0.188064380194636
"EFR3A",-0.91800418181818,11.0973511575181,-4.03810076701165,0.000550688170463097,0.0189082264269855,-0.188202223419978
"AASS",-0.938942272727271,11.2603187735661,-4.03769219539178,0.000551236900389379,0.0189082264269855,-0.189133122888608
"ZRANB2",1.71322302233301,11.9162876290992,4.0353931960299,0.000554334709525762,0.0189082264269855,-0.194371047688365
