"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ALCAM",-1.81289515151516,16.131171714876,-9.63117293649151,2.34630903771175e-09,9.63159859980674e-06,11.2724199037449
"SLC44A1",-2.15037886363636,15.5487301239669,-8.27708645644261,3.30044402894993e-08,6.77416136941972e-05,8.88937222072705
"ITGA5",-1.23667303030303,16.6235259297521,-7.67352038748049,1.15879268399463e-07,0.00014011402831299,7.73661025245097
"ACSL1",-1.27985098484848,13.923577768595,-7.59639472617607,1.36530112850661e-07,0.00014011402831299,7.58523642999595
"PIK3R1",-1.47855740758668,10.7562372430583,-7.03337978504848,4.63007814781445e-07,0.000380129415935566,6.45255185522563
"OSBPL5",-1.7761463058928,11.6559859678409,-6.91214708234454,6.05576026923502e-07,0.000414314931753496,6.20237760306873
"TNFAIP8L3",-1.90760878763627,11.4807178526816,-6.6997080996903,9.7375421049166e-07,0.00057103729058118,5.75876452545537
"EPS8",-1.15760333333334,13.6393388636364,-6.43260543592199,1.78376646166225e-06,0.000915295165640443,5.1918002918322
"CFH",-2.18821042953397,11.4317949729658,-6.37100880158931,2.05356034565669e-06,0.000936651690991188,5.05963940615852
"STON1",-1.7519213559632,11.5437660302226,-6.25564293872412,2.67675867646583e-06,0.00106218284492242,4.81072817825739
"FASN",-1.2924659090909,15.8041927066116,-6.22901037401726,2.84628776958504e-06,0.00106218284492242,4.75301382974457
"SEC14L2",-1.60088275743141,12.4038088925226,-6.15898179705154,3.34639779710402e-06,0.00107957105956885,4.60081373381803
"HIP1R",-2.17618809220576,9.77757326153267,-6.14973220052213,3.41886084638126e-06,0.00107957105956885,4.58066300754315
"RIN1",1.21193253640313,11.206292615525,6.07760782146588,4.04180943717412e-06,0.00118511626711427,4.42316019588356
"PCNP",1.21886140676828,13.4789947196417,6.001071094892,4.83057146139444e-06,0.00132196638993495,4.25530401923208
"TBC1D4",-1.43092075757576,12.2367707522294,-5.82404647832459,7.31387862954601e-06,0.00184065198416339,3.86433073472759
"EOGT",-0.99815025743141,12.762046578473,-5.76840651884995,8.3381558012348e-06,0.00184065198416339,3.7406868334245
"ITGB5",-1.24809909090909,16.7438944008264,-5.76231703115179,8.45879132618584e-06,0.00184065198416339,3.72713337137949
"SH2D4A",1.39880659090909,12.6922662809917,5.75066160850013,8.69467185861032e-06,0.00184065198416339,3.70118012384425
"PTK2B",-2.32285483968096,10.583869261185,-5.73755891222506,8.96785375962675e-06,0.00184065198416339,3.67198610408576
"IDI1",-1.01035795454545,13.537736446281,-5.70956409320673,9.58118977510551e-06,0.00187289447746705,3.60954733555193
"SLC4A7",1.44320855224201,11.377656147108,5.56791393744536,1.34063937118027e-05,0.00250151119031591,3.29232351593864
"CARMIL1",-1.03524862560639,12.1147879475874,-5.49063900976089,1.61158174759203e-05,0.00283542593533576,3.1183971181765
"NT5DC3",-1.55318497590958,11.9921240354957,-5.47880423905677,1.65773988911226e-05,0.00283542593533576,3.09170819638522
"DIAPH2",-1.01608477272728,12.9220463016529,-5.33446229226494,2.34166572422699e-05,0.00383820871951912,2.76514664805274
"ANK1",1.53887512629168,8.12665666808934,5.31885710687946,2.43102135706449e-05,0.00383820871951912,2.72972952978091
"AKAP12",1.21337939393939,13.977456322314,5.23831878712425,2.95027133628252e-05,0.00425674455591627,2.54661716054141
"NT5C2",-0.992614478810198,13.3796037578452,-5.23171973874582,2.9975086563527e-05,0.00425674455591627,2.53159013724659
