"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ITGA2",-2.69256624641874,16.9166559268425,-12.4308516565731,1.52420519058075e-11,3.90653790345846e-08,16.3468151383805
"HTRA1",2.40236114904621,17.3723063342561,11.6288227333599,5.61549720879975e-11,7.19625967307688e-08,15.1341060968261
"CACNA2D1",-2.27942961939811,17.3301410122464,-11.0333914614142,1.5438042214689e-10,1.3189234065416e-07,14.1847351176433
"MYH10",-3.62153747183185,17.9175892426264,-10.7059494396222,2.73716411567479e-10,1.75383790711862e-07,13.6439725250027
"TFRC",-1.1564930652106,17.3400775231072,-10.1079737261238,8.03980287280555e-10,4.12120295260012e-07,12.6208418882835
"ECE1",-1.73704488726923,16.1086596576392,-9.53479842555678,2.35055884333005e-09,1.00408038590915e-06,11.5954059576252
"AK1",1.00318768336599,18.6860942580746,8.73520504326922,1.12458500740135e-08,4.1175876770995e-06,10.0887669084394
"TXNRD1",-1.44894716372757,18.8962267687948,-8.56706406606112,1.57947659844903e-08,5.06024815228107e-06,9.7603850713578
"MGLL",1.3989773871962,16.0056066907187,8.4139984545714,2.15880091653393e-08,5.5553657875184e-06,9.45790960405892
"ARSA",-1.39446695565958,16.1078446215882,-8.41203271533283,2.16752469275006e-08,5.5553657875184e-06,9.45400310736994
"KCTD12",2.21555183763394,17.3912001611284,8.09546806653755,4.17762102621739e-08,9.73385699108651e-06,8.8176140900813
"STAT2",0.852402204734414,15.9524978751018,7.85943869020337,6.87345465104398e-08,1.46805535588548e-05,8.33370077115265
"TGM2",-3.1906392274105,18.51264596662,-7.67657790845142,1.01609370104437e-07,2.00326781213594e-05,7.9532738287309
"ITGB1",-0.966784984848474,20.0694381272719,-7.40431290526755,1.83352102674614e-07,3.35665313682168e-05,7.37797709192587
"VCAN.1",-1.70900545737008,16.1482793850552,-7.25417193869231,2.5496686929506e-07,4.35653390668826e-05,7.05623263517714
"SERPINE1",-1.54685399747718,16.9919846971356,-7.08243722386638,3.73130909962871e-07,5.93710964439997e-05,6.68434879278995
"SQOR",1.31729246587056,17.7090147115268,7.03307670130696,4.16586492023233e-07,5.93710964439997e-05,6.57670614049593
"ENAH.1",1.15506514120923,18.9753207550931,7.03267102438731,4.1696439172532e-07,5.93710964439997e-05,6.57582007758693
"NAP1L1",-1.16479972969351,18.7740003314856,-6.88316372869283,5.83250396445819e-07,7.86774087416123e-05,6.24774611977088
"DBI",0.802243402643434,18.5538951526873,6.7825228195358,7.32276210732187e-07,9.38411964053297e-05,6.02520702704581
"ACTN4",0.971303121212134,20.503998553719,6.67423186878874,9.36766901039722e-07,0.000109248010848072,5.78425408885529
"UAP1L1",0.969325581886313,16.4425776165826,6.6737714926521,9.37751166077873e-07,0.000109248010848072,5.78322645106347
"ARHGAP18",-0.87188955550265,15.9007607901465,-6.58435639801092,1.15049780292119e-06,0.000128205472560305,5.58311690277091
"TPM4",1.17952125757577,22.1417657644628,6.50821311369268,1.37038811808306e-06,0.000145209489151202,5.41190267307517
"RPS23",-1.33946192194848,17.1330976665934,-6.49387003077752,1.41640157190014e-06,0.000145209489151202,5.379569066013
"PSMB10",1.01921358652649,15.0322698571455,6.46518020694481,1.51324226529321e-06,0.000149170766382558,5.31481623396422
"DPYSL2",-0.818758954545448,20.4763640495868,-6.38286678273704,1.83043872884785e-06,0.000173756091186557,5.12846802911116
"APPL2",0.806987126539221,16.3067382060254,6.21585246513625,2.6997544314729e-06,0.000247123950280894,4.74784201751973
"LIMA1",0.765295449696026,18.6436067119151,6.17262176635381,2.98703154656068e-06,0.000263991788063277,4.64878291576806
"HS1BP3",1.15652326214747,16.5360035932512,6.1341720345873,3.268713271353e-06,0.000279257070482592,4.56049835121893
"LGALS3",1.60186175510922,19.71965058596,6.09904282294669,3.54974928568807e-06,0.000293484110297372,4.47969133550919
"PTGIS",-1.44975941910897,17.2085600539501,-6.00742255925169,4.40457336630489e-06,0.000328932238924581,4.26829279201253
"NOTCH2",0.600062612817517,16.3487179313297,6.00099498333381,4.47190814095469e-06,0.000328932238924581,4.25342773653736
"GSTK1",0.780778621212129,18.6701425201356,5.99489496164449,4.5367822143967e-06,0.000328932238924581,4.2393160902428
"TPM3",0.985873579498936,20.4519959231458,5.9890678347642,4.59965020361424e-06,0.000328932238924581,4.22583200962809
"RFTN1",1.03247353903982,16.2427106221829,5.9871811337747,4.62019531848806e-06,0.000328932238924581,4.22146536598059
"LMO7.1",0.798138032391925,20.3730591225572,5.92699993128959,5.32705057745571e-06,0.000365328035175996,4.08198110345085
"PAPSS2",-0.915210474450218,16.4795095658238,-5.91997191161172,5.41649057225434e-06,0.000365328035175996,4.06566709267918
"TPM4.2",1.50615383242336,16.4896527618976,5.88660216371207,5.8625074712745e-06,0.000385271965355808,3.9881364997555
"COX6C",1.44895048726805,18.5307243701196,5.8563578441547,6.29903683819453e-06,0.000403610785407315,3.9177686101243
"CKB",1.30363191285405,18.6716213682198,5.7662857101304,7.80563352345734e-06,0.000487947285868809,3.70765931699187
"EWSR1",-0.965880300710777,16.3019680514485,-5.74488126096294,8.21472112135001e-06,0.000501293577000478,3.65761292031955
"TPM4.1",1.00012714064823,18.5514482415551,5.73117270038356,8.48812003730261e-06,0.000503026768037078,3.62553750140673
"ANPEP",1.35478640938106,19.4909611503899,5.72396067423331,8.63565267016443e-06,0.000503026768037078,3.60865557840678
"SEPTIN11",0.64793833333334,20.0885993822096,5.62491608213191,1.09469448085785e-05,0.000623489323208593,3.37632435206314
"PLPP3",0.827672969172042,17.5081451154133,5.59033454999677,1.18946169118902e-05,0.000662737024895101,3.29499780845204
"MAPRE3",-0.763473807913158,15.5404077728458,-5.57716230904745,1.22771521921209e-05,0.000669496618476719,3.26399282707121
"ASS1",-0.879385467751028,16.7034329084205,-5.56362272753584,1.26833925609798e-05,0.000677240315287318,3.23210767570859
"HYOU1",-0.684407282308488,17.7417170270488,-5.51064166122608,1.44087699428814e-05,0.00074490438646032,3.1071911470875
"SNX6",0.565944109056709,17.5060938532906,5.50711114969808,1.45318842462021e-05,0.00074490438646032,3.09885880612786
"RPL27A",-1.07279793013751,18.4224120970402,-5.48063965945623,1.54896693645397e-05,0.000778431815319908,3.03635145483174
"DPYSL3",-1.04116951724164,18.8665020575501,-5.40897357918658,1.84170956019025e-05,0.000907750308224539,2.86684907847818
"EFEMP1",-1.81806650896265,15.8069731941249,-5.30550205200971,2.36641574006948e-05,0.00112570958827927,2.62145045677088
"FHL1",-2.39197198744627,18.0147053753575,-5.30457179230878,2.37176425154431e-05,0.00112570958827927,2.61924081017382
"TGFBI",1.34252564582608,16.818658065516,5.28206228272356,2.50498364874952e-05,0.00116234677725101,2.56575634761024
"MIF",-0.865246636363633,21.8062542355372,-5.26932225243405,2.58371776138873e-05,0.00116234677725101,2.5354701977559
"ERGIC1",-1.01278283333333,17.8916388132365,-5.26911669811627,2.58500843945797e-05,0.00116234677725101,2.53498145877634
"TOM1",0.724996057139968,17.0237814323093,5.25887064628438,2.65017793730088e-05,0.00117110449194865,2.51061635175026
"SEC13",-0.938150143493051,17.0249110103669,-5.23002295872852,2.84274163079863e-05,0.0012186934203964,2.44198086097788
"NUTF2",-1.03941660381775,17.7944427773763,-5.22854658909817,2.85296938056122e-05,0.0012186934203964,2.438466833857
"ABHD14B",0.635539376586713,18.1589557061791,5.2154378395371,2.94543172137691e-05,0.00123756418063755,2.40725979332988
"EPHA2",-1.02072783030128,15.0788905945951,-5.20580466357638,3.01530778836137e-05,0.00124093044377446,2.38432017252713
"SEC24C",-0.721518535558186,16.336156160314,-5.20106817673185,3.05027771977334e-05,0.00124093044377446,2.37303907518066
"CRYZL1",-0.539480679443663,15.0296535161296,-5.16994416691371,3.29050766227514e-05,0.00131774549037675,2.29887701031234
"CYGB",1.90604280573319,17.5876545389521,5.15291823949015,3.42993274756695e-05,0.00135244886646371,2.25828436113894
"RABEP2",0.715565851606481,15.4488267608021,5.13069615106828,3.62094176956319e-05,0.00137945776616557,2.20527915817749
"SEC61B",-1.64452953002601,16.7687914715382,-5.12640718115485,3.65902809098051e-05,0.00137945776616557,2.19504583433078
"VPS25",0.521386531830613,16.2803386296139,5.12630999910568,3.65989575104405e-05,0.00137945776616557,2.19481395022037
"CAPZB",0.534909250769715,19.3561160667373,5.11501416574508,3.76217777823767e-05,0.0013974582095106,2.16785780012347
"CTSZ",-1.22888686680822,16.4719628629284,-5.09782727017545,3.92337511652816e-05,0.00143651577480881,2.12683063464678
"SERPINB8",0.927962178762229,17.1658761394524,5.07299124823283,4.16873263406169e-05,0.00150485376635213,2.06751781297008
"SEC24D",-0.768815869370766,16.9804023114672,-5.05972324523607,4.30610542827217e-05,0.00153285391842522,2.03581914697244
"MICAL2",-1.034198157063,15.3720203601943,-5.04137388095935,4.50366009036273e-05,0.0015812165495342,1.99196691122716
"SUMO3",0.607768776794408,18.9552031741561,5.02958226795192,4.63541971017776e-05,0.00160548388070076,1.96377858267215
"SIRPA",-0.933168037675552,15.4038411104704,-5.01565000425437,4.79612682527814e-05,0.00163899640709171,1.93046497426252
"UTRN",0.61382921231186,17.0786534101074,5.00761718186296,4.89132986839532e-05,0.00164953663851279,1.91125376100146
"GOLPH3",0.711483579546865,15.8361001522588,4.98375449376448,5.18554948662085e-05,0.00172604718626094,1.8541680128921
"LMAN1",-0.596534693733645,17.6448138049624,-4.93418459854689,5.85511148775786e-05,0.00190136623631987,1.73551207539025
"PLS3",-0.56000395454544,20.0116810241708,-4.93380030754536,5.86062944476277e-05,0.00190136623631987,1.7345918376623
"PRKCA",-0.755827306877226,16.6596431989574,-4.87512509130435,6.76775634726214e-05,0.00216821993975411,1.59402765598495
"COPS7A",0.688410746059116,17.5799794631231,4.85942361729263,7.03367352842806e-05,0.00222559324115569,1.55639450856389
"SH3KBP1",0.8523449643095,14.8566139976429,4.85357616122285,7.13537443490361e-05,0.00223023959471438,1.54237758464654
"SCARB2",-0.736547040355052,18.7512636345873,-4.84568463959811,7.2749798388476e-05,0.00224647871409234,1.52345934503225
"TSPO",-1.23553406965338,18.5823876371473,-4.82739081535194,7.60928531692949e-05,0.00230552445004811,1.4795974799189
"RALB",0.757461591546949,16.2449124205477,4.82232811475791,7.70450685731852e-05,0.00230552445004811,1.46745748756302
"GSDME",-0.583765810223628,16.3413743816294,-4.82066463832463,7.73605550933037e-05,0.00230552445004811,1.46346845370485
"IGF2BP2",1.19088607159038,17.1261737190654,4.81052525403508,7.9311873738087e-05,0.00233650956770939,1.43915267551294
"ANKRD13A",-0.689107288746282,15.5265642660216,-4.7840903328521,8.46355528645283e-05,0.00246112350938297,1.37574683746985
"MAN2B1",-0.73214391232808,16.1183256825968,-4.78013566668624,8.54623458193852e-05,0.00246112350938297,1.36626005085289
"ARF4",-1.17398081182911,17.6443969301679,-4.76928875673066,8.77720566602762e-05,0.00249955312466987,1.34023799171499
"CLIC4",-0.58010892424242,19.6589719391252,-4.74898320497016,9.22661125056547e-05,0.00256979586957332,1.29151855503951
"PDGFRB",1.54452329628415,17.5970581387671,4.74611307776255,9.29197446298098e-05,0.00256979586957332,1.28463164210073
"ACAT1",0.574501087054657,18.409692664981,4.74468548491125,9.32465922240808e-05,0.00256979586957332,1.28120606192286
"METAP2",0.525307902457303,17.0212919210595,4.71724705237549,9.97582945421626e-05,0.00272000541395279,1.2153601956181
"PPP1CB",0.452239101925542,19.1793714373186,4.70715149892066,0.00010226764875212,0.00274481662434509,1.19113062274291
"NT5C",1.23151191060269,16.1354349314449,4.70500171899023,0.000102810142776874,0.00274481662434509,1.18597093834516
"RHOA",0.502578727272734,20.6161343801653,4.68883299603638,0.000106984102373288,0.00277455297107957,1.14716275641141
"FLNC",-1.71547457399376,18.0155175713566,-4.68448282732026,0.000108135902300306,0.00277455297107957,1.13672101931111
"SEPTIN9",0.404040149862144,17.7107079220956,4.68333806916893,0.000108441067670798,0.00277455297107957,1.13397321943404
"UROD",0.612132174986318,16.8220659047658,4.68180649274572,0.00010885070386254,0.00277455297107957,1.13029690835672
"TALDO1",0.533451038420942,20.1059654817471,4.6792560616615,0.000109536297858839,0.00277455297107957,1.12417494826177
"ATP2B4",-0.654027388553931,18.0918539765374,-4.67599518040106,0.000110419197444447,0.00277455297107957,1.11634756737209
"DNAJB4",-0.835898202817667,16.2818224907614,-4.66139917780966,0.000114459623100846,0.00284815547580067,1.08131046085136
"PITRM1",0.606285285593682,16.6465998616956,4.65135550471439,0.00011732585771207,0.0028914055126542,1.05720018524367
"SNX12",0.488450479588689,17.3242293697256,4.61694043635252,0.000127705269131739,0.00311722480747282,0.974581807030699
"IRAK4",0.470693295039617,15.6631967364707,4.60542171095961,0.000131381368193627,0.00317670232717232,0.946928798521718
"STK24",0.447186289137285,17.1743291511533,4.5912449358476,0.000136051935038362,0.00325888887386283,0.912894606623265
"MME",1.19255536346204,16.6914819264635,4.57778747552391,0.000140639634211197,0.00331578146272827,0.880587562940788
"RPL36AL",-1.01691156287689,16.7669984679096,-4.57670737606575,0.000141014506218253,0.00331578146272827,0.877994612018983
"EIF4E2",0.530326318820304,19.6127226893305,4.56105756789036,0.000146559988490031,0.00341484773181773,0.840425267656768
"CREG1",-0.763272459871672,17.5882464941984,-4.55420780827289,0.000149055533279042,0.00344170569183951,0.823981930237918
"ARPC1B",0.45731488751526,19.3576195194069,4.54631684008686,0.000151983301662567,0.00347797501929607,0.805039454252475
"CRIP1",1.92828616847163,17.4077123170921,4.53940292770765,0.000154595928110215,0.00350645454642903,0.788442786155191
