"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ITGA2",-3.09819668849217,16.9166559268425,-14.3035379310563,9.17048288434583e-13,2.35039476325784e-09,18.7454914519981
"TGM2",-4.13108156164946,18.51264596662,-9.93925266815795,1.09797551809147e-09,1.23640850202542e-06,12.2764003374541
"DPYSL3",-1.88471460507478,18.8665020575501,-9.79126965814789,1.44722025207814e-09,1.23640850202542e-06,12.0160229801077
"STAT2",1.00618797730999,15.9524978751018,9.27739589898357,3.85613786033697e-09,2.06464184887222e-06,11.0882293439597
"CACNA2D1",-1.9120160250738,17.3301410122464,-9.25495619851903,4.02778355222828e-09,2.06464184887222e-06,11.0468676654825
"TXNRD1",-1.47746468990661,18.8962267687948,-8.73567716659188,1.12351876384679e-08,4.79929765289887e-06,10.0695706408529
"HTRA1",1.7144519799239,17.3723063342561,8.29894296588518,2.7359034422874e-08,9.53557748796072e-06,9.21737041798775
"TGFBI",2.09896987601165,16.818658065516,8.25823301709232,2.97638001965219e-08,9.53557748796072e-06,9.13651239765828
"MGLL",1.33747027434767,16.0056066907187,8.04407056496492,4.6531079833145e-08,1.32510175124834e-05,8.70714341536857
"ARSA",-1.2717151235409,16.1078446215882,-7.67154013968696,1.02715991456597e-07,2.63261086103258e-05,7.94426618206934
"PLPP3",1.07438611825707,17.5081451154133,7.25670410976167,2.5354668289928e-07,5.90763771155322e-05,7.0710364849247
"DPYSL2",-0.916998363636353,20.4763640495868,-7.1487198553183,3.21982882469224e-07,6.87701773140518e-05,6.83969003554837
"SCARB2",-1.07823790125356,18.7512636345873,-7.09364174950488,3.63931964525977e-07,7.17505865446214e-05,6.72105680939856
"HSPB6",-1.57093156060605,19.3863619909187,-7.03168683116271,4.17882658492255e-07,7.65023752654036e-05,6.58710384900941
"ITGB1",-0.912242715154392,20.0694381272719,-6.98659020817604,4.62263358740555e-07,7.89853992301361e-05,6.48926415027157
"ALCAM",0.959964116059311,18.4382450734851,6.80610561488744,6.94174076233379e-07,0.000111198009836634,6.09488982029077
"LGALS3",1.73262100000001,19.71965058596,6.59690490844905,1.11788658643899e-06,0.000168537842414302,5.63226884778318
"SORCS2",2.02317141801611,19.9784640803224,6.52862276478462,1.30753465365789e-06,0.000180307282670184,5.48002502559916
"GSDME",-0.789433905080102,16.3413743816294,-6.51904589797118,1.33665172482774e-06,0.000180307282670184,5.45862399891169
"EFEMP1",-2.20890142501631,15.8069731941249,-6.44604088207862,1.58158854265451e-06,0.000202680571741176,5.29509735162464
"TPM4.1",1.1173488071695,18.5514482415551,6.40290491097504,1.74744379755411e-06,0.000213271354911008,5.19815824136411
"MYH10",-2.1108733052047,17.9175892426264,-6.24014056315662,2.55089492979732e-06,0.000291632249597548,4.83030459234127
"SQOR",1.16672103641863,17.7090147115268,6.22916986983423,2.61706661753555e-06,0.000291632249597548,4.80539466292241
"G6PD",-0.713460807944422,19.0058299402817,-6.14679314917344,3.17337972308798e-06,0.00033889050959477,4.61789555439584
"PDXDC1",0.825112188337648,15.6565143329814,6.11857855250142,3.39054761328088e-06,0.000347598941313555,4.5534933458333
"VCAN.1",-1.42705240814464,16.1482793850552,-6.05737301163245,3.91530853516598e-06,0.000382126588899287,4.4134725440651
"MIF",-0.992712666666662,21.8062542355372,-6.04558599236371,4.02552395641074e-06,0.000382126588899287,4.38645843957267
"ALAD",-0.73992086363636,17.3484925637126,-5.95978653735381,4.9292725710143e-06,0.000451204485696773,4.18935348035307
"NIT1",-0.669155496607441,15.7788957372775,-5.92382950603321,5.36721022762941e-06,0.000474350338393593,4.10651125750025
"DBI",0.694308714243665,18.5538951526873,5.86999492004954,6.09824944587346e-06,0.000520993777659123,3.9822230584495
"ARHGAP18",-0.769765572304543,15.9007607901465,-5.81313405922151,6.98107368363232e-06,0.000571957421121243,3.85062018248936
"UTRN",0.709884906136971,17.0786534101074,5.7912392923239,7.35478989109319e-06,0.000571957421121243,3.79985741089852
"PC",0.95235170385752,15.8272892209238,5.78562911957963,7.45378516885669e-06,0.000571957421121243,3.78684252868122
"GNS",-0.644679695772613,17.6835753219186,-5.77817511064208,7.58741799380502e-06,0.000571957421121243,3.76954531511106
"CASK",-0.663924905622927,15.2830415205102,-5.70564254569444,9.0222163026751e-06,0.000660684010964465,3.60094607809068
"PRMT1",-0.663114868762086,16.7916153528944,-5.68731683775307,9.42656508084128e-06,0.000671119063949895,3.55826815969927
"COL8A1",2.27955529485713,17.7329217735709,5.66572445894631,9.92672382199857e-06,0.000687626842048171,3.50794186285978
"TPI1",-0.716091409090907,21.2105339049587,-5.65188637449311,1.02613736421587e-05,0.000692102648548759,3.47566589212143
"CLIC4",-0.686679607908609,19.6589719391252,-5.62140968510723,1.10394328916594e-05,0.000725488884649307,3.40451966172567
"GAPDH",-0.618057272727267,22.828059731405,-5.60107256711668,1.15917478286736e-05,0.000726098423419971,3.35699667239952
"CD109",1.54321197667389,16.2932016404689,5.60022707490783,1.16153083730858e-05,0.000726098423419971,3.35502015260547
"PDGFRB",1.81435471010029,17.5970581387671,5.57526884704419,1.23331586804209e-05,0.00075261632614092,3.2966462320867
"MICAL2",-1.13841131649375,15.3720203601943,-5.54937855725702,1.31255289714135e-05,0.000782342575668204,3.23603437420902
"SRRM2",-0.966878273709753,17.6416231737205,-5.47077050918812,1.58629398897456e-05,0.000906329814128326,3.05165414408727
"EGFR",0.898799382842853,15.704126149684,5.46946669510752,1.59129307981953e-05,0.000906329814128326,3.04859163494575
"ATP2B1",0.966955280126703,15.8118595049115,5.44270056790804,1.6975289328624e-05,0.000945818838027465,2.9856907429934
"NAMPT",-1.01124880652025,16.6635081121988,-5.3795075114135,1.97781714005166e-05,0.00106235873310878,2.83696219010847
"CKB",1.21563551771263,18.6716213682198,5.37705593534215,1.98959107254083e-05,0.00106235873310878,2.83118610064178
"VCAN",-1.46074366775093,16.0301565785868,-5.35086655107651,2.11989164215647e-05,0.00110883311813205,2.76945411879841
"UAP1L1",0.76775404780625,16.4425776165826,5.28595878760017,2.48139169239462e-05,0.00125115124175842,2.61624427068
"FHL1",-2.38296488310284,18.0147053753575,-5.28459713044765,2.48961035230898e-05,0.00125115124175842,2.61302702957212
"SVIL",-0.646096995092869,16.8515871923873,-5.2202783864409,2.91094087947595e-05,0.00143475797578786,2.46091797695007
"CSPG4",1.59803589452131,17.6453249948612,5.19908289991063,3.06505701490857e-05,0.00148221530739824,2.41073394110892
"MFSD10",-0.699659733382656,15.4339220034344,-5.15129276903619,3.44355233351631e-05,0.00163441196866709,2.29748225223432
"TPP1",-0.798563858275543,17.9845834109759,-5.13122834575071,3.61624388812097e-05,0.00167495653737322,2.24989444905193
"ALDOC",-1.03987245940952,18.1912034308232,-5.12006361552174,3.71610331673492e-05,0.00167495653737322,2.22340471118191
"FAM162A",-0.796679585884352,16.3888951603368,-5.11908036953082,3.72503014554324e-05,0.00167495653737322,2.2210715056392
"PSAP",-0.613714560606052,19.4239725601273,-5.07418158075274,4.1566268562565e-05,0.00183679907458369,2.11447318214528
"ANPEP",1.19806779982202,19.4909611503899,5.06182592603617,4.28403371993443e-05,0.00185452745920028,2.08512013347505
"MYO6",0.985911629614197,16.5731524299533,5.05033714214108,4.40604041169333e-05,0.00185452745920028,2.05781965688007
"PGK1",-0.704732681818182,21.5460280785124,-5.04961562747237,4.41381876750749e-05,0.00185452745920028,2.05610492515751
"PAPSS2",-0.771278589131978,16.4795095658238,-4.98895905494489,5.11989134533614e-05,0.00211649701904783,1.91186276728225
"KCTD12",1.35910660294051,17.3912001611284,4.96607839014738,5.41495416721244e-05,0.00217647005140808,1.85740980702379
