"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ITGA2",-3.97593042424242,14.3107087190083,-15.9642533820477,1.35526466954066e-13,5.5633614684644e-10,20.3273130457521
"PDLIM3",-4.61345322801995,12.1849968773349,-12.7026306506309,1.29473655050301e-11,2.65744676990743e-08,16.3518278445686
"ECE1",-2.55435059090909,12.8278879752066,-11.6936304210362,6.3973176716367e-11,8.75366301402288e-08,14.9033304688962
"CACNA2D1",-3.08357280112127,14.3559048176333,-10.3186310475901,6.6912715349894e-10,6.86691741278287e-07,12.7329858094303
"PTPRK",1.68926665151515,12.514465661157,9.19912916821359,5.31693388340335e-09,4.36520271827415e-06,10.7821333673217
"ANK3",-2.85375296577674,12.3270409147767,-8.88857997663861,9.71323056480409e-09,6.6454685780868e-06,10.2098402833784
"PAPSS2",-1.48165636363635,13.9185248140496,-8.80137575072895,1.15297679180147e-08,6.76138532906431e-06,10.0466401859291
"TBC1D2",2.25435218090793,12.697826059458,8.41629262724789,2.48751440290368e-08,1.27640582798995e-05,9.31274887159143
"NUDT1",1.34586898971046,11.5923554657763,8.26544424176579,3.37982037769473e-08,1.45336384559596e-05,9.0193509854453
"HTRA1",2.32829537878788,14.2584014876033,8.24272092884988,3.54047221826057e-08,1.45336384559596e-05,8.97486497613224
"CAVIN2",-3.92507247181692,11.6514959105525,-8.04772106731013,5.28878900028209e-08,1.97367989510527e-05,8.5899882617329
"APBB1IP",2.69685535384986,11.1303480096324,7.99289611256809,5.92593324925844e-08,2.02716299901716e-05,8.48077156046462
"SLC4A7",-2.14629757929729,11.377656147108,-7.89508869312248,7.26641917381929e-08,2.29451159296371e-05,8.2848319520741
"SORBS2",3.38052878351627,13.1848768252154,7.6710647509298,1.16484489951393e-07,3.41549165178906e-05,7.83074641263186
"TXNRD1",-1.57887068181818,15.7175072700457,-7.45486379870929,1.84852893158461e-07,5.05880750943655e-05,7.38555707524511
"MEAK7",1.48630828787879,14.1286930991736,7.389181215771,2.12957950768563e-07,5.27422842112013e-05,7.24896098288704
"GALNT1",2.1993523939394,13.8166067768595,7.37198775074292,2.21016783733587e-07,5.27422842112013e-05,7.21310166841886
"ASS1",-1.33214966666666,14.678354338843,-7.35102283479137,2.31269455737302e-07,5.27422842112013e-05,7.16931870435598
"ATP13A3",-1.81681570428403,11.4572055268176,-6.98542835074878,5.14754272722013e-07,0.00010173442938619,6.39570199468512
"MGLL",1.6005654351783,13.0820384479278,6.98453172693358,5.15776507072778e-07,0.00010173442938619,6.3937814268952
"DBI",1.04632957575758,15.7430247107438,6.98046073429258,5.20444096738122e-07,0.00010173442938619,6.3850599474604
"ITGB1",-1.08520113636363,17.1210029752066,-6.94702828043,5.60454973523129e-07,0.000104575803014202,6.31334841133975
"UAP1L1",1.04535798484849,14.3923950619835,6.88552714947222,6.42507757841276e-07,0.000107509362193905,6.18102400994928
"ARHGAP18",-1.73452157334898,12.8868634882602,-6.87985928628727,6.50665213952659e-07,0.000107509362193905,6.16880276842114
"DCLK1",3.24660518235981,12.315305362239,6.87705093900329,6.54746420182124e-07,0.000107509362193905,6.16274566746347
"SNTB1",2.29729838652426,13.1693907282693,6.76907915141919,8.33320954168202e-07,0.000131568558340787,5.92904697570892
"HS1BP3",1.10699774242425,13.2627782024793,6.70037924738028,9.72285255098423e-07,0.000147823369339964,5.77952179066189
"TPM4",1.34945080303031,18.8541475413223,6.5670192577476,1.3138940927438e-06,0.000192330072086828,5.48745402091386
"IMPDH1",-1.14969296751764,12.2189345956357,-6.53950748059371,1.39848546311403e-06,0.000192330072086828,5.42690783081887
"SYNE1",1.06026332607934,11.3878637691573,6.53727838747333,1.40557908955051e-06,0.000192330072086828,5.42199783041067
"AK1",1.152491,16.1108025826446,6.45045259109017,1.71258547811241e-06,0.000226779464117788,5.23024377198933
"CCNYL1",-1.84438884169275,11.1393346217532,-6.41796867511266,1.84439965649284e-06,0.000236601893434472,5.15825289968764
