"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ITGA2",-4.55267243939393,14.3107087190083,-18.2800020706596,8.38079744473407e-15,3.44031735106334e-11,22.8651575955059
"CYP1B1",3.57539818181819,13.673632836329,11.7689756428112,5.65812536387287e-11,1.16133023093491e-07,15.0993646738252
"PDLIM3",-4.08324772175225,12.1849968773349,-11.2427687246133,1.35036318336375e-10,1.58120557221739e-07,14.2895588849372
"GALNT1",3.33080428787879,13.8166067768595,11.1644902736042,1.54076060630196e-10,1.58120557221739e-07,14.1662428029132
"DPYSL3",-2.07588668181818,17.5744193801653,-10.0957624220916,9.98775327514357e-10,8.19994543889287e-07,12.4053455590006
"ARSA",-2.21661587878787,14.1625476033058,-9.79104970815091,1.74366038274282e-09,1.19295431185988e-06,11.8759054640176
"ANK3",-2.99097034670867,12.3270409147767,-9.31597074214113,4.25185803091969e-09,2.49341103098933e-06,11.0251622861356
"CACNA2D1",-2.66005953422329,14.3559048176333,-8.90141879844493,9.47191350928972e-09,4.52801270230181e-06,10.2570388219462
"CARMIL1",-1.75552366862679,12.1147879475874,-8.87745695733112,9.92743345206244e-09,4.52801270230181e-06,10.2118944243231
"APBB1IP",2.95566840376769,11.1303480096324,8.7599620279191,1.25121100912225e-08,5.13622119244684e-06,9.98934410627779
"TXNRD1",-1.83305732801432,15.7175072700457,-8.65504241286962,1.54073383738769e-08,5.67368078434103e-06,9.78893941726526
"OSBPL5",2.3225871969697,11.6559859678409,8.61806805038598,1.65856685534939e-08,5.67368078434103e-06,9.71793812469321
"SLC4A7",-2.27460163181841,11.377656147108,-8.36705114796201,2.74839225656759e-08,8.67857708708458e-06,9.23069544658725
"STAT2",1.59067310606061,13.3095752892562,8.20539434490068,3.82167957301209e-08,1.12057104622962e-05,8.91207577172231
"CALCOCO2",1.33513008413881,11.3486564053888,8.05664823889902,5.1919301738976e-08,1.42085822425664e-05,8.61554991339374
"HIP1",2.66871796253165,12.1368253964626,7.97735299798652,6.12059664771031e-08,1.57031557742818e-05,8.45616071533308
"SIAE",-1.84218752665914,10.7784103933063,-7.78762988659265,9.10467611861148e-08,2.19851149805295e-05,8.07109733044262
"UAP1L1",1.17585174242425,14.3923950619835,7.74505883493093,9.959830113886e-08,2.27139458986122e-05,7.98397767693397
"C1GALT1",1.44289353137455,11.0487028663332,7.6701587103336,1.16708615931941e-07,2.51000739386905e-05,7.83006132959345
"DPYSL2",-1.04921551515151,18.5808274793388,-7.64815471052025,1.22290250614814e-07,2.51000739386905e-05,7.78468998577497
"STXBP5",1.23131562121212,12.688533946281,7.39404943173076,2.10731505474227e-07,4.11929919034144e-05,7.25568483181479
"FAT1",1.91917071976465,11.5124051433345,7.34059217606171,2.36551444012133e-07,4.41383489849911e-05,7.14321795392766
"TBC1D2",1.94476932414341,12.697826059458,7.26051051965359,2.81469242737183e-07,5.02361409320059e-05,6.97397636222886
"CTSZ",-2.52790827272727,13.3219542975207,-7.19409852253686,3.25333066988872e-07,5.56455099995549e-05,6.83293493033002
"HTRA1",1.99912624242425,14.2584014876033,7.07738368076908,4.20222902369294e-07,6.9000600569038e-05,6.58356069200782
"HSPB6",-1.70595018181818,15.9268412396694,-6.9411561767425,5.67802156012762e-07,8.96472250166303e-05,6.29009583100221
"PGK1",-0.86065030303029,18.5019837809917,-6.86894505621556,6.66674186147043e-07,0.000101359167930875,6.13350040698091
"NRP2",2.54157198582183,11.1707827220848,6.84416843632606,7.04534062158202e-07,0.000101543166105367,6.07960644833321
"ITGB1",-1.06787062121212,17.1210029752066,-6.83608517980313,7.17357324495895e-07,0.000101543166105367,6.0620057573655
"MGLL",1.5522048939394,13.0820384479278,6.77349647202245,8.25114940962263e-07,0.000112903227755003,5.92542439236776
"GOLPH3",1.0357733939394,12.827111446281,6.67044586262958,1.04006386996371e-06,0.000137724586651646,5.69940231260385
"C1GALT1C1",1.60231229956507,11.2239706911,6.56926387175355,1.30722802709226e-06,0.000167692845350429,5.47611244445179
"ENPP1",2.28657422727273,12.459945348003,6.46070173944025,1.67302908939735e-06,0.000204729161521874,5.23505828585673
"PTPRK",1.18531660606061,12.514465661157,6.45480129179135,1.69568611248324e-06,0.000204729161521874,5.22191356780724
"TM9SF2",0.921727500000001,15.1479913223141,6.43422556281274,1.77718164754982e-06,0.000208438018948343,5.17604147822754
"FHL1",-3.10468827272727,14.7859409710744,-6.30669726419175,2.38005096354777e-06,0.000271391922371211,4.89054342449593
"MBNL2",-1.0345718030303,14.1135824380165,-6.28305216594113,2.51304373075009e-06,0.000273968448302408,4.8373882536369
"LGALS3",1.84835133333334,18.1533461157025,6.2767758412842,2.54960516539049e-06,0.000273968448302408,4.82326736722414
"EEF1D",-0.973924151515149,16.8106164669422,-6.26779539739972,2.6028671093286e-06,0.000273968448302408,4.8030542546086
"KIAA1217",1.58393546823673,11.9277753722327,6.16345054126559,3.31195289206105e-06,0.000339889165547765,4.56748543668563
"MME",2.43893543939395,13.6930565966207,6.12341326445505,3.63394441649833e-06,0.000363837605603065,4.47675530830937
"DCLK1",2.87906907735468,12.315305362239,6.09852556432068,3.85004750977388e-06,0.000376296310181471,4.42026232304257
"FILIP1L",-2.22322531318387,10.4180672425659,-6.07351274312842,4.0804779493138e-06,0.000385610401867533,4.36341347355717
"AKAP11",1.70489873534087,10.8347428576783,6.06799093604069,4.13321746216114e-06,0.000385610401867533,4.35085392936754
"PDGFRB",2.49061554545455,14.7556983884298,6.03761432916373,4.43605093829033e-06,0.000400361620300852,4.28169932853252
"SORBS2",2.65855601886941,13.1848768252154,6.03277080915979,4.48639087304244e-06,0.000400361620300852,4.27066305239285
"NAMPT",-1.78600171212121,13.2842641942149,-6.02075486771811,4.61380844474045e-06,0.000402971992886374,4.2432725595275
"MYCBP2",1.47253686805549,10.0473407293719,5.99862342394113,4.8582429251599e-06,0.000412891536550181,4.19278137382161
"NIBAN1",-1.93884825757575,13.412203822314,-5.99246813111547,4.92854696491081e-06,0.000412891536550181,4.17872885596428
"SEPTIN5",-1.58421548656984,10.5744510367677,-5.97864404950514,5.09025045806645e-06,0.000417909562607255,4.14715322184314
"ALDH2",-1.95374813617638,13.954211124018,-5.96517764927243,5.25297682493339e-06,0.000422813134634345,4.11637431057023
"KIDINS220",1.28730787363779,10.7206386139287,5.93886605242289,5.58640941637817e-06,0.000441004051042931,4.05617902640325
"MYO6",1.36539128787879,13.3636003305785,5.91247725207656,5.94253167828637e-06,0.000460265896969161,3.99573166925001
"GMPR",-1.13428812167948,13.4865102032743,-5.81102956166338,7.54140162631547e-06,0.000563229907656898,3.7626627187673
"SQOR",1.41687133333334,14.860887768595,5.81075259519313,7.5463203218342e-06,0.000563229907656898,3.76202494062436
"FAHD2A",-0.932175878787875,12.9672259090909,-5.77799980748645,8.15165226884211e-06,0.000597545224349944,3.6865490637028
"PCNP",-1.22567107343494,13.4789947196417,-5.75376393718574,8.63124072800036e-06,0.000621600757691956,3.63062991401365
"MRPS36",-1.07264715151515,13.8193439876033,-5.72369831408806,9.26636187859553e-06,0.000655834750200597,3.56117860870097
"NAGA",-1.286953,13.2376995041322,-5.71283914248624,9.50728465927745e-06,0.000661481415700575,3.53607216488304
"UPF3B",-1.99053048505312,9.79049351876295,-5.62469988200478,1.17144841674284e-05,0.000801465958454896,3.33187478918748
"ECE1",-1.22330316666666,12.8278879752066,-5.60019254005072,1.24162969174293e-05,0.00083555571878766,3.27496776232286
"MPP1",-1.18623517704038,11.3018091071898,-5.56887872828865,1.33756664808202e-05,0.000885598562963983,3.20217628879973
"CLIC4",-0.960766393939389,16.3337433471074,-5.55376332223191,1.38654065707129e-05,0.000903452285282166,3.1670078628036
"IRAG1",-1.85503048798607,9.95124516098471,-5.53117490075864,1.4631479062263e-05,0.000938472211727964,3.11441468736882
"NUDT4B",-2.20954525595597,11.7258718109022,-5.52235568208357,1.49421326355589e-05,0.000943653145676451,3.09386859464787
"GBA",-0.930707742424236,16.4723138842975,-5.49064868273419,1.61154455990137e-05,0.000998200562597392,3.01994569961018
"STK24",1.8129403170624,12.4156811503922,5.48607673066245,1.62921894504325e-05,0.000998200562597392,3.00927942501877
"EGFR",1.62957040909091,13.3874988196363,5.47650539415165,1.66686050275579e-05,0.00100624446526655,2.98694399392189
"IGF2R",1.26029753030304,13.1730349832163,5.46399672680757,1.71738924180085e-05,0.00102172215037573,2.95774254961176
"MAN2B2",-1.31864531364227,11.5323790947529,-5.44634966686863,1.79133267967276e-05,0.00105048866429381,2.91652355330336
"CCPG1",1.49622818443065,11.6306238447542,5.4320681793385,1.85353594920833e-05,0.00107165705232397,2.88314704688648
"L3HYPDH",-0.941517806950564,12.7125674452118,-5.423630754592,1.89131151812158e-05,0.00107831024748459,2.86342064608477
"ITSN1",-0.927271196969691,11.7030993405224,-5.3904323581498,2.04769323793184e-05,0.0011514768139329,2.78574899537695
"MID1",-1.88425093230393,10.2832116797984,-5.38136245688001,2.09265709740587e-05,0.00116007939350184,2.76451384046598
"OCIAD2",-1.44587080305261,11.7149351231937,-5.37040010415497,2.14834268290215e-05,0.00116007939350184,2.73883945728346
"NFASC",-2.21999084848485,13.0291260330579,-5.36318170580266,2.18582888165323e-05,0.00116007939350184,2.72192858103893
"SORCS2",2.16461159701752,13.8579876417933,5.36180225599151,2.19306775866519e-05,0.00116007939350184,2.71869642879453
"ALAD",-0.961166427594932,14.3904335716986,-5.35094001437375,2.25092563099784e-05,0.00116007939350184,2.6932403696028
"NEU1",-0.955138151515149,12.1866941883444,-5.34884723098644,2.26224958074954e-05,0.00116007939350184,2.6883348346033
"ASS1",-0.969006090909081,14.678354338843,-5.34713634628486,2.27155002236144e-05,0.00116007939350184,2.68432423547457
"CKB",1.57328796969698,15.7211218595041,5.34202098486429,2.2995893721815e-05,0.00116007939350184,2.67233166993986
"GSDME",-0.92133139393939,14.8181463946281,-5.33670800879711,2.32908376859513e-05,0.00116007939350184,2.65987374947606
"ACSL1",0.941672151515156,13.923577768595,5.32907093400108,2.37215378895646e-05,0.00116007939350184,2.64196259764717
"SCARB2",-1.01209025757576,16.2365125,-5.32877251054614,2.37385308292704e-05,0.00116007939350184,2.64126262094568
"VASN",1.47779630303031,13.8237459742738,5.31544470943922,2.45101722448112e-05,0.00118369714194059,2.60999452222966
"ANPEP",1.49857078787879,17.591886177686,5.25409122721516,2.84040159479971e-05,0.00135579634263405,2.4658907533522
"TRIM47",1.67559570878346,12.2383612855544,5.2464574882322,2.89305017071711e-05,0.00135961880920984,2.4479427751516
"GCLM",-1.08703101529586,14.4320562685557,-5.24336603187691,2.91465177126592e-05,0.00135961880920984,2.4406732130883
"DBI",0.783529196969704,15.7430247107438,5.2272199126731,3.03015809018229e-05,0.00139761786069644,2.40269521724755
"SLC39A10",-1.20251758113285,11.8433480935753,-5.16913085642077,3.48546188026659e-05,0.00158975789094382,2.2659215523329
"MAP2K2",0.973243757575764,14.6384410020661,5.15741272343625,3.58539852832651e-05,0.00160950503945118,2.23830500285965
"ALDOC",-1.36669589393939,15.4312802066116,-5.15490340880763,3.60717329182725e-05,0.00160950503945118,2.23239012698401
"DDAH1",-0.963471727272717,15.5160830991736,-5.1315244290319,3.81659238855562e-05,0.0016785789969663,2.17726389577557
"NUDT1",0.835091960873894,11.5923554657763,5.12858687741586,3.84376189317497e-05,0.0016785789969663,2.17033505026436
"ANKRD13A",-1.0078508915308,12.4195018766899,-5.11930416077682,3.93091143795086e-05,0.00169856752134613,2.14843648935476
"CD109",2.10898245454546,14.1431480578512,5.09295169871144,4.18937130255938e-05,0.00179139262468815,2.08624256393447
"STEAP3",2.17825782073554,11.8142405409165,5.07972133615968,4.32554860121765e-05,0.00183055433072149,2.05500333161268
"ASAP3",1.68617621212121,10.484967932451,5.07449287505762,4.38059060632996e-05,0.0018349310652025,2.04265539410095
"GUK1",-0.81626971212121,13.4996901033058,-5.0622017109397,4.5127910255152e-05,0.00187121284441817,2.01362189504886
"G6PD",-0.771067469696966,16.4220591942149,-5.05560170206143,4.58543648872085e-05,0.00188232167861991,1.9980284457178
"NIT1",-0.647935227272727,13.5307266735537,-5.0508863027781,4.63806148460969e-05,0.00188507350438839,1.98688626699313
"MMP2",1.6864908030303,13.751750392562,5.02307978080117,4.96104768691262e-05,0.00199657850537022,1.92115833153393
"HEXA",-0.844599212121205,13.5475409090909,-5.01422262870183,5.0686305503335e-05,0.00202007071933195,1.9002141090921
"MAN2B1",-1.05056131818181,13.6144482334711,-5.0050382530099,5.18267927959256e-05,0.00204566331180072,1.87849212023971
"CAVIN2",-2.43506785615734,11.6514959105525,-4.99270956830404,5.33986138115676e-05,0.00208763152091891,1.84932725090053
"ECPAS",0.714012984848488,13.6041761983471,4.98682022312724,5.41663782869388e-05,0.00209766964969702,1.83539286145449
"ATP8B1",-1.54139706865743,10.7711307967517,-4.97490300173562,5.57542573384818e-05,0.00213898342406045,1.80719148385995
"CDH13",-1.50170606060605,14.6189099793388,-4.96756057920245,5.6755906802643e-05,0.00215724997615601,1.7898129247715
"PTPN1",-0.723989151515143,12.6649007220507,-4.94303733040593,6.02349909388262e-05,0.00226154586754241,1.73175262866384
"IKBKB",-0.807697433291006,11.7141802124082,-4.94053617251415,6.06017163044252e-05,0.00226154586754241,1.72582955341987
"CHMP2B",1.41785965953289,11.3973235143717,4.91994881042924,6.37072163024666e-05,0.00235601912542005,1.6770662319363
"ALCAM",0.966254030303038,16.131171714876,4.89442264990994,6.77817920624451e-05,0.00247715242023089,1.61658172828902
"CANT1",1.4357712136923,9.95010302523122,4.89195373562416,6.81895794119588e-05,0.00247715242023089,1.61073030634665
"PTGFRN",-1.32133537878788,12.7087790495868,-4.88619727065951,6.91500080768795e-05,0.00249000686978588,1.59708639538576
"FKBP4",-1.06911668181818,14.4513191528926,-4.87860778063594,7.04371581675335e-05,0.00251430029806718,1.5790960390578
"PGRMC2",-1.11802986363636,16.0010070454545,-4.87287069818455,7.14261660155062e-05,0.00251536011127569,1.56549532870247
"VCAN",-2.24176024242423,13.5313495661157,-4.87134023880219,7.16923588353851e-05,0.00251536011127569,1.56186692491625
"ADAMTS1",-2.04171593878127,11.0615777667327,-4.86739014359073,7.23840328216946e-05,0.00251810554858522,1.55250168831062
"RECK",-1.29104484848484,13.4658398113718,-4.85882329601564,7.39073333583979e-05,0.00254093173654442,1.53218881289538
"GSN",1.04390368181819,17.537035268595,4.84945949983785,7.56093561428164e-05,0.00254093173654442,1.50998348259545
"RFTN1",1.09444231818182,13.8367074793388,4.84851927422354,7.57824265228336e-05,0.00254093173654442,1.5077536701811
"GJA1",1.50342845454546,14.3562128719008,4.84577406041104,7.62900363860803e-05,0.00254093173654442,1.50124303510596
"PAPSS2",-0.815338984848482,13.9185248140496,-4.84329899023107,7.67506333409563e-05,0.00254093173654442,1.4953728732603
"ATP2B1",1.21508136363636,12.9145346866073,4.84328047753219,7.67540889967134e-05,0.00254093173654442,1.49532896567026
"NAGLU",-0.807286196969693,12.464253161157,-4.8387953192083,7.75959472780135e-05,0.00254825090860996,1.48469094720098
"UTRN",1.01958824242425,13.7706536921067,4.81234623104802,8.27532181660749e-05,0.0026960473061249,1.4219457246136
