"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"CARMIL1",-1.58152507518343,12.1147879475874,-7.65708887185723,1.19991544539242e-07,0.000492565290333587,7.63842659392465
"ANKRD17",1.95265595402547,10.0659900708963,7.0529492490651,4.43453514920956e-07,0.000910188339375262,6.44675619840684
"SEMA3C",1.62712527272727,11.6426447727273,6.75029740632603,8.69156949783149e-07,0.00118929642628661,5.82862136388655
"DIAPH2",-1.35643763636364,12.9220463016529,-6.50084655273718,1.52688405160539e-06,0.00126025721830087,5.30889697256739
"IGF2R",1.55194190909091,13.1730349832163,6.44196744813829,1.74605748770521e-06,0.00126025721830087,5.1849107236538
"P4HTM",1.57944146039111,9.40509685101377,6.41853081299593,1.842032474983e-06,0.00126025721830087,5.13542144529705
"GHDC",-1.00960974852445,11.792415283669,-6.2217880397822,2.89412611789462e-06,0.00169719824485106,4.71695635972408
"ITSN1",-1.07949390909091,11.7030993405224,-6.00817738922479,4.75114103807712e-06,0.00235901845380445,4.25670535151627
"PRDX6",-0.837183727272727,17.2803217355372,-5.97182270222863,5.17202584268941e-06,0.00235901845380445,4.177786024969
"TCF25",1.27726045454546,11.3801698764284,5.85492386371377,6.80173461060315e-06,0.00254187666180506,3.92290396950105
"YIPF4",1.08340872727273,12.857973685911,5.8543218160335,6.81136255294901e-06,0.00254187666180506,3.92158695786482
"RIN1",1.26638734028408,11.206292615525,5.79735859750066,7.78812990203728e-06,0.00266418943732192,3.79678058143941
"NCKIPSD",-1.13127463636364,11.6771387381524,-5.6949191971377,9.91889094865504e-06,0.00313208056494069,3.57137962624186
"ERMP1",-1.45270495194871,10.8032649985649,-5.53613538508929,1.44596404659951e-05,0.00394187102236722,3.2196870541542
"SEPTIN7",-0.733881999999998,15.9797720867769,-5.49377204180913,1.59958229747303e-05,0.00394187102236722,3.12540432275079
"DPYD",-1.34861985242081,11.821020412448,-5.48786620649008,1.62227780028756e-05,0.00394187102236722,3.11224593027655
