"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ITGA2",-3.96311001515151,14.1969492984469,-17.8102262532623,1.51716612439524e-14,7.3946676903024e-11,22.1656149368101
"ANK3",-3.00824990008549,12.6119787835379,-12.2009510661569,2.93387543560606e-11,7.14985443657197e-08,15.6272912081881
"ANXA3",-3.38164585347934,12.4316865878234,-11.6548032906979,7.05316139065509e-11,1.14590362060176e-07,14.8265336272626
"CACNA2D1",-2.96127093939394,14.4422180991736,-10.508746335044,4.92012468217732e-10,5.99517192523306e-07,13.0291418403218
"ECE1",-2.48457225757576,13.4970533786701,-10.2101463187393,8.36037296480839e-10,8.14969156609522e-07,12.5333363746127
"TBC1D2",2.29193725757576,12.818389577786,9.41458524114851,3.61558463390509e-09,2.9370599176089e-06,11.1536617708348
"SLC4A7",-1.97036324242424,11.722360154157,-9.08506418662952,6.78469792039761e-09,4.72408823771685e-06,10.5564184524456
"SNTB1",2.32190650373199,13.2598418118817,8.90292409891858,9.66493423280525e-09,5.8883611813366e-06,10.2196565570762
"CAVIN2",-3.66845118530169,11.8705896653904,-8.4492829909433,2.37710465664488e-08,1.28733423294302e-05,9.36007437163584
"PAPSS2",-1.34351334848484,13.9472890702479,-8.25272936841296,3.54031803322343e-08,1.59524560824334e-05,8.97831910812575
"AK1",1.28387788636364,16.1312788326446,8.24449891492258,3.60026706825539e-08,1.59524560824334e-05,8.96221008136568
"HTRA1",2.28878116666667,14.6809192768595,8.15436702471462,4.32962642194493e-08,1.67875029188613e-05,8.7851494399397
"PTPRK",1.28918870851929,12.5634828897069,8.13800568697183,4.47758592419362e-08,1.67875029188613e-05,8.75288036886113
"SULF1",2.75078305715533,11.7964221155495,8.01172272941162,5.81037054941167e-08,1.99670120265874e-05,8.50249320297531
"CCDC80",-2.99292112970372,12.7931655978784,-7.98472190005515,6.14495651208065e-08,1.99670120265874e-05,8.44865354263866
"DBI",1.13937518181819,15.7152699173554,7.85290753951051,8.08777965308355e-08,2.46373987682058e-05,8.18427933552641
"DCLK1",3.49130419932719,12.3639732685539,7.56306680767532,1.49186676653119e-07,4.27496187584609e-05,7.59400802269336
"SORBS2",2.95209381627214,13.2990169374175,7.53652991358176,1.57877131237648e-07,4.27496187584609e-05,7.53935189533379
"EPB41L1",1.86938383333334,12.8036258710731,7.4591107115107,1.86333058338102e-07,4.49412690360495e-05,7.37931238040404
"ATP13A3",-1.78765271565043,11.6178365876709,-7.42618331113473,1.99988688350282e-07,4.49412690360495e-05,7.31098201304759
"MGLL",1.61606390909091,12.7767434917355,7.42422169186031,2.00834012477317e-07,4.49412690360495e-05,7.3069063411353
"ARHGAP18",-1.71324222397582,13.0749901311221,-7.41956956355505,2.02853491750736e-07,4.49412690360495e-05,7.29723835170781
"TXNRD1",-1.51018265151515,15.7862084710744,-7.21622275386081,3.15019814586096e-07,6.6756807664897e-05,6.87159854331763
"MEAK7",1.36676233333334,14.1900734090909,7.05486839439677,4.48448642783467e-07,9.10724452052757e-05,6.52965171030673
"ASS1",-1.24352186473806,14.7231982724268,-6.99233049488742,5.14704758592613e-07,0.000100346839735216,6.39613068311712
"NRP2",1.76034294455163,11.4527560219677,6.96382438005761,5.48164407531012e-07,0.000100734947984321,6.33508712086529
"HS1BP3",1.07676228787879,13.4664316942149,6.95575881256978,5.58031102908631e-07,0.000100734947984321,6.31779476166705
"NMRAL1",1.5777992200225,11.1102839718782,6.93209144604343,5.88049563999019e-07,0.000102048117066419,6.26700025171961
"PTK2",-1.14700755075583,11.9234946514468,-6.91764697891676,6.07180015372619e-07,0.000102048117066419,6.23596149643115
