"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ALCAM",-1.60771219696969,18.4382450734851,-11.9549656884381,3.27861055522091e-11,8.40307885303119e-08,15.1724683318213
"SAMHD1",-2.84533083435492,16.7445060858211,-11.0897787752755,1.40050883193869e-10,1.79475206812943e-07,13.9051025935374
"MAOA",-2.27971300367602,16.9081041549271,-9.89496618382272,1.19224667871299e-09,1.01857607918046e-06,11.9940768628452
"ACSL1",-0.898773835316719,16.1799723430869,-6.97787662649842,4.7138149989495e-07,0.00030203769605769,6.4572219710177
"METTL7A",-2.18997195924041,16.8866987185996,-6.77213543953427,7.49732494138751e-07,0.000381992369402741,6.01861709671282
"GLUL",-1.42725385914197,15.9746454587536,-6.66217715904757,9.62891712883478e-07,0.000381992369402741,5.78174294794763
"GLRX",-0.911420474102133,18.4309652590362,-6.62707874384453,1.04328778221584e-06,0.000381992369402741,5.70577834644433
"LIMA1",0.775495009801467,18.6436067119151,6.56018195058177,1.21609546490211e-06,0.000389606584568015,5.56052139319439
"UGP2",-0.694658814210172,18.6142473153721,-6.35100939895729,1.97077305891124e-06,0.000561232372221056,5.10243127533514
"SLC44A1",-1.20640714722672,17.938581000053,-6.26859874606145,2.38709534918034e-06,0.00061181253799492,4.92036857335006
"FASN",-1.07681516458077,18.6695103539781,-6.21526269951696,2.70347738569008e-06,0.000629910230865788,4.80207419142072
"ITGA5",-0.837809618287793,17.8914920786517,-5.76975292288578,7.74134530387892e-06,0.00165342233448681,3.80055828699135
"RALY",0.690671471572752,16.1868823451237,5.68561910898688,9.46494541952052e-06,0.0018660503930947,3.60892332321639
"NEXN",-1.12455194652081,16.7600805234951,-5.63022062523437,1.08085216526734e-05,0.00197873149970014,3.48234397780131
"ITGB5",-0.83344339313971,18.0282574539529,-5.52781971676961,1.38246865582998e-05,0.00236217810992816,3.24757886491054
"GBE1",-0.741387623144838,19.1555540831717,-5.43159664324603,1.74368729686383e-05,0.00263063588799852,3.02609163555105
"TCEA1",0.75599627322682,15.6550228179449,5.43131798903077,1.74486188435329e-05,0.00263063588799852,3.02544903787569
"MGST1",-0.849078141340875,17.5391475152423,-5.27661282765577,2.53835977904485e-05,0.00342016997904453,2.66769625256988
"PYGB",-0.886985681818189,19.8406935330579,-5.26063739409694,2.63882305722927e-05,0.00342016997904453,2.63064625888034
"ACSS2",-0.604845372241638,15.5585437074885,-5.2559773354464,2.66888020214166e-05,0.00342016997904453,2.61983515018476
"SLC1A5",0.837014314083644,16.020797014941,5.1995388686876,3.0616561797966e-05,0.00357671785527903,2.48877613742118
"EPS8",-0.825529630874644,17.3025066901153,-5.19542811745723,3.09245463953118e-05,0.00357671785527903,2.47922154974055
"SH2D4A",1.04634934424756,15.3771498130772,5.18014984384312,3.20969608550206e-05,0.00357671785527903,2.44370022938639
"CRYAB",-1.49671613636363,21.0466190495868,-5.13289563376018,3.60156597595073e-05,0.00378210616416533,2.33373772061745
"PDXK",-0.454547727272729,17.7449657469342,-5.12304807454786,3.68913984019248e-05,0.00378210616416533,2.31080385183973
"SH3PXD2B",-0.694384579398532,15.6918906811271,-5.08370635506801,4.06102971672512e-05,0.00400323813998711,2.219121388591
"HMOX1",1.63226750654847,16.585720841429,5.04024806486073,4.51607492144829e-05,0.00428692593469332,2.11773888072218
"COL8A1",-1.87620231451771,17.7329217735709,-4.89081604541471,6.51213715632367e-05,0.00596093126130628,1.76837890713761
"MYO1B",0.801433048136822,16.292841739472,4.81977318358925,7.75301590255064e-05,0.00648080124068162,1.60194162744965
"ARMC9",0.695003670379434,15.2601946870443,4.81677278558533,7.81037566992732e-05,0.00648080124068162,1.59490830518983
"TPM4.1",-0.801196156360756,18.5514482415551,-4.81530147210952,7.83865932349318e-05,0.00648080124068162,1.59145924340312
"SRRM2",0.803004478668424,17.6416231737205,4.76530832636971,8.86353086469407e-05,0.0070991342519409,1.47422363325838
"SVIL",0.554393087332716,16.8515871923873,4.69796840239847,0.000104605291711389,0.00805348226070284,1.31619888869456
"ATP5IF1",0.575046434174276,15.8994426568542,4.68939913817214,0.000106835113875886,0.00805348226070284,1.29608203641692
"DPYSL3",0.81709072419677,18.8665020575501,4.45205005349175,0.000191754722872107,0.0137201056416449,0.738561792031991
"CDC42EP1",0.534337678772721,15.4336624530836,4.45002858352747,0.000192713149863136,0.0137201056416449,0.733813165560188
"MFGE8",-1.27191057954823,19.3542689691529,-4.42558623654831,0.000204688575590943,0.0141788329524213,0.676398948195247
"MYO6",-0.820725597225902,16.5731524299533,-4.40937162209778,0.000213041044197034,0.0143681331599408,0.638315262313724
"COL1A1",1.64162643939394,18.8260765708818,4.39886710453989,0.000218633317689306,0.0143681331599408,0.613644997744893
"ITIH3",1.18823558108897,18.8420725759433,4.38594991977548,0.00022571175165093,0.0144624804870333,0.583310881520451
