"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ALCAM",-1.73308825757576,15.974253822314,-10.7720220339,3.10917680052391e-10,1.51541277257535e-06,13.0137256931761
"ACSL1",-1.32366188236345,13.9165144453058,-7.78861059358525,9.25536718554552e-08,0.00013390472272252,7.93308843907854
"SYNJ2",1.23190418180787,11.4348167057599,7.71499646329096,1.08078624837967e-07,0.00013390472272252,7.79066462698341
"SLC44A1",-1.9313471969697,15.5528576239669,-7.70711338905468,1.09893083892097e-07,0.00013390472272252,7.77536300749533
"EOGT",-1.09326637250325,13.2510260544578,-7.3332542143148,2.44360468960592e-07,0.000238202585142785,7.03861452967219
"ARMC8",-1.06813825757576,11.5966734710744,-7.07964599358588,4.24681693664268e-07,0.000344983095819941,6.52660755295439
"STON1",-1.61991850920253,11.6289629155128,-6.95398092448443,5.60230429793701e-07,0.0003900804449735,6.26929341091582
"ITGA5",-1.1476103030303,16.5526979132231,-6.863212703797,6.8520268424446e-07,0.000417459735375937,6.08196597159744
"TRIR",1.70020727068958,10.2238798035744,6.48253594574857,1.61282288357641e-06,0.000873433192727936,5.28320967367849
"GDF15",2.35750604726247,12.1116598308872,6.38434920962953,2.01723033523913e-06,0.000983198065395551,5.07384619651101
"HSPB2",-1.63316305916333,10.928500177827,-6.28452293792152,2.53553475464928e-06,0.00112347239946915,4.85962933317099
"FASN",-1.29497310606061,15.8165327479339,-6.17997613534621,3.22577774376871e-06,0.00127889747019413,4.63384769328359
"TOR1AIP1",1.06052757429607,13.4496414656087,6.14658657049404,3.48455517306339e-06,0.00127889747019413,4.5614354438205
"PIK3R1",-1.33020767997269,11.0487988612988,-6.12377229024496,3.67348473178453e-06,0.00127889747019413,4.51187463028601
"HIP1R",-1.24610159090909,13.4929036983471,-6.07856819483669,4.07934381828526e-06,0.00132551478468816,4.41347728433659
"PTX3",-1.41133219696969,13.476616446281,-5.9445569257066,5.57320577786286e-06,0.00167221298316255,4.12025609515245
"DIAPH2",-1.01798223858109,12.9255257373642,-5.92509742803689,5.8325032239974e-06,0.00167221298316255,4.07749375607178
"CFH",-1.8314352392158,11.9759831058134,-5.800787077352,7.80620408950094e-06,0.00211374659623486,3.80325402753532
"ITGB5",-1.20556128787879,16.7234767768595,-5.75188732132471,8.75848273549143e-06,0.00220642898740135,3.69488368036566
"CERS6",-1.22216228110818,11.1264610239142,-5.72639984923185,9.30093417663227e-06,0.00220642898740135,3.63829168619971
"SLC4A7",1.18222504081836,11.722360154157,5.71713173560637,9.5065672415733e-06,0.00220642898740135,3.61769490030496
"SLC17A5",-1.33180902251572,12.6235770429806,-5.62194028869774,1.19065034637908e-05,0.00256359367400393,3.40560374900106
"LAMA2",-2.30709507368768,10.1210974671067,-5.61522882698282,1.20973850024806e-05,0.00256359367400393,3.39061351874762
"PLXNB1",-1.4979962355167,10.2425728493897,-5.53323029850244,1.46971770054248e-05,0.00276856362113931,3.20708907548061
"SEPTIN9",0.663128560606058,15.732453285124,5.53219726399866,1.47333250589621e-05,0.00276856362113931,3.20477260780909
"HMGN2",2.05078670312881,10.9115803684381,5.5189982350388,1.52032209884928e-05,0.00276856362113931,3.1751657872577
"SMAD3",1.19032703695735,10.7812973156988,5.46364424948127,1.73457511898014e-05,0.00276856362113931,3.05081310565691
"PTPRM",-0.929336953316019,11.610136136351,-5.45776196743588,1.75907670484006e-05,0.00276856362113931,3.03758101292081
"SLC26A6",-1.42678970331678,9.46524012980559,-5.44899079448146,1.79626606868322e-05,0.00276856362113931,3.0178442419511
"PYGB;PYGM",-1.41349143939394,14.5324641528926,-5.44727257610949,1.80364426471511e-05,0.00276856362113931,3.01397706924269
"GPR89A;GPR89B",-1.13117130647885,11.1234641770345,-5.43505069087652,1.85702212940691e-05,0.00276856362113931,2.9864613200095
"TCEA1",0.974749166666671,12.7094337983763,5.42316293855667,1.91048003043514e-05,0.00276856362113931,2.95968426804859
"SEC14L2",-1.39831339006568,12.404252300997,-5.42068433310962,1.9218214823185e-05,0.00276856362113931,2.95409955870374
"SORT1",-1.44960627769701,12.1713231014849,-5.41862600161637,1.93129181614149e-05,0.00276856362113931,2.94946135909649
"RND3",1.57041928876027,12.5588249001937,5.38363505800494,2.09973389184581e-05,0.00284758467057296,2.87055339580733
"NEGR1",-1.41797537354842,12.6100883779394,-5.38264839960781,2.10469396683186e-05,0.00284758467057296,2.86832675425519
"GCLC",-1.35800509671513,12.8649821185903,-5.37147770709084,2.16168717298317e-05,0.00284758467057296,2.84311112206337
"CARMIL1",-1.04500807349513,12.3996891617741,-5.3568228116917,2.23883994564483e-05,0.00287160681449287,2.81001351210644
"PYGB",-1.17626712121212,16.5383315289256,-5.32887752291085,2.39379592295686e-05,0.0029411597313253,2.7468469935203
"STAT5B",-0.616603611461446,11.2483500348704,-5.32541226705658,2.41375439583529e-05,0.0029411597313253,2.73900946871411
"MEST",1.8469937078413,11.5990648880254,5.29833804284769,2.57561733870868e-05,0.0030618436363088,2.67773869302003
"FOXO1",-1.71455128301014,8.89324279375248,-5.23827088137039,2.9751681870383e-05,0.00344466888265853,2.54158185709038
"SH2D4A",1.37149743486149,12.3806885392599,5.22943920873039,3.03899798839386e-05,0.00344466888265853,2.52153776545917
"EPS8",-1.00191984848485,14.5329139256198,-5.16234670660833,3.57148129408438e-05,0.00388423669278036,2.36906652183627
"NT5DC3",-1.45641000944733,12.2652590883325,-5.16064120885205,3.58618488254239e-05,0.00388423669278036,2.36518619560049
"P4HTM",0.907370660780256,11.0558199360997,5.12929048685774,3.8676582451192e-05,0.00409803614928499,2.29381913181019
"NNMT",-0.990930909090906,17.5022747107438,-5.07987162781336,4.35749301704307e-05,0.00447569876019753,2.18117851206229
"CDC42EP2",1.37515850676656,10.4827343218139,5.07512328092081,4.40774600922203e-05,0.00447569876019753,2.1703466674411
"GBE1",-0.910507045454544,16.1737846694215,-5.05584625400666,4.6178538737737e-05,0.00459335097566796,2.12635667723828
"MGST1",-1.16419977272727,14.690085785124,-5.03832741390448,4.81757515099835e-05,0.00469617225719319,2.08635755135803
"FGF2",1.67441619356675,12.3182628769611,5.02439474235282,4.9826319257984e-05,0.00475329810905118,2.05453222825436
"TBC1D4",-1.29795532436424,12.3704971168574,-5.00979424856404,5.16173999182478e-05,0.00475329810905118,2.02116826850386
"AKAP12",1.14080924242425,13.990000392562,5.00733095961347,5.19259317588333e-05,0.00475329810905118,2.01553803340837
"CRYAB",-1.47186757575757,17.9065370454545,-5.00150784567043,5.26627201249003e-05,0.00475329810905118,2.00222690032131
"NCKIPSD",-0.819111623171754,11.5784071509794,-4.97085287121697,5.67192852345575e-05,0.00502635993151333,1.9321184446013
"PIK3CA",-0.861584983041281,12.0143562236334,-4.93535518609282,6.18129853431591e-05,0.0053281116301278,1.85086610997213
"PTPN11",-0.713374242424242,13.4456810207099,-4.92920253332037,6.27417261828392e-05,0.0053281116301278,1.8367758184533
"IDI1",-0.811870258713387,13.5101218509294,-4.92487188796762,6.34038724963916e-05,0.0053281116301278,1.82685689429047
"APOL2",-1.20242325757576,15.2725222933884,-4.90070403201527,6.72307788707633e-05,0.00544185382031516,1.77148429375984
"PLSCR4",-1.3619907153988,11.924967591803,-4.89972600731416,6.73904633524814e-05,0.00544185382031516,1.76924282771445
"PCNP",1.11153924242424,13.4112756198347,4.89536655380041,6.81069107589711e-05,0.00544185382031516,1.75925110069085
"GLRX",-0.834899242424244,15.5973478719008,-4.80477858387285,8.48639885787944e-05,0.00667140452150071,1.55141724954296
"NT5C2",-0.90193053030303,13.361742671005,-4.74998296581603,9.69599553484884e-05,0.00742761687402337,1.42552711321617
"FADS3",-0.777699746971509,11.8826681267982,-4.74564002877277,9.79899106405109e-05,0.00742761687402337,1.41554448975694
"UGP2",-0.608920454545453,15.4299788842975,-4.74119615473947,9.90552106712185e-05,0.00742761687402337,1.40532914511798
"MIOS",-0.836214627688532,11.1642947094951,-4.72848851440712,0.000102166329533961,0.00743309178780557,1.37611361559975
"MYO6",-1.02042689393939,13.5286267975207,-4.72844028086983,0.000102178323714192,0.00743309178780557,1.37600271343358
"OSBPL5",-1.77049398445766,11.6846411665086,-4.70738189698872,0.00010755266926379,0.00770899573517225,1.32757620717568
"FRMD8",-0.700260162115912,12.3117550590924,-4.66831560655158,0.000118287952617582,0.0083555866820014,1.23770114452471
"LIMA1",0.763490075757575,16.0690359297521,4.6524532638904,0.000122948838749342,0.00856075200091847,1.20119606531316
"C2CD2",-1.08702605128753,9.8552884645303,-4.63553782284823,0.000128122873629128,0.00862543348611408,1.16226019743344
"TUBB3",0.813300606060601,15.8398979545455,4.63426665760173,0.00012852042572194,0.00862543348611408,1.15933395006842
"ITSN1",-0.565026366395797,11.9977731206208,-4.63214466103539,0.000129186837194569,0.00862543348611408,1.15444898590274
"SUSD5",-1.21678031363106,12.521688870703,-4.60922237605208,0.000136610830683573,0.00899785390205049,1.10167390324397
"C11orf96",1.5405405153832,12.2058431333221,4.58765533905834,0.000143987049188311,0.00935723836991767,1.05200890476451
"MYO1B",0.881938636363644,13.9020721694215,4.5542714858388,0.000156201758694451,0.010017465419431,0.97511525337362
"CYB5A",-0.866577954545454,14.6325172830579,-4.5444269201873,0.000159998638283981,0.0101277060129367,0.952436763406268
"SAP18",0.954124459112332,10.535195654932,4.53659901678356,0.000163083752157177,0.0101906436924882,0.934403031537049
"RPAP1",-0.676252581625494,10.3095298099541,-4.52622644769306,0.00016726394809377,0.0102962129019767,0.910505788939868
"MT1E;MT2A",-1.44267878787879,15.1652506404959,-4.52199939610266,0.000168998160065272,0.0102962129019767,0.900766778277061
"ANK1",1.28807136640487,8.89319676647385,4.48571606398932,0.000184645952440596,0.0111106712616724,0.817164052440011
"MFGE8",-1.43678863636364,17.1422750826446,-4.47755446846997,0.000188361428510743,0.0111960195434313,0.798357058559203
"DNAJB4",-1.21415522727272,14.925316053719,-4.44368428754743,0.000204598748091051,0.0120146300987444,0.720306108493501
"STARD7",-0.917364924242424,12.3979849171628,-4.43847190206497,0.00020721922956219,0.0120236491057871,0.708294393064354
"SH3PXD2B",-0.724506590909094,13.5034478512397,-4.42961262433373,0.000211750551839342,0.0121420257607641,0.687878568565306
"TNFAIP8L3",-1.62641302463251,10.180705844927,-4.42021082298758,0.000216668005049223,0.0122795332163943,0.666212602332557
"DPYSL3",0.838240530303036,17.6201972107438,4.38891727812469,0.000233874625413332,0.0130022156376473,0.594100214103322
